team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate
Hunter+Warrior,Warrior+Mage,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Warrior+Rogue,20,20,0,0,1.0000,0.0000
Hunter+Warrior,Warrior+Priest,20,16,4,0,0.8000,0.0000
Hunter+Warrior,Warrior+Warlock,20,13,7,0,0.6500,0.0000
Hunter+Warrior,Warrior+Paladin,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Warrior+Hunter,20,9,11,0,0.4500,0.0000
Hunter+Warrior,Mage+Rogue,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Mage+Priest,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Mage+Warlock,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Mage+Paladin,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Mage+Hunter,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Rogue+Priest,20,19,1,0,0.9500,0.0000
Hunter+Warrior,Rogue+Warlock,20,9,11,0,0.4500,0.0000
Hunter+Warrior,Rogue+Paladin,20,1,19,0,0.0500,0.0000
Hunter+Warrior,Rogue+Hunter,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Priest+Warlock,20,4,16,0,0.2000,0.0000
Hunter+Warrior,Priest+Hunter,20,20,0,0,1.0000,0.0000
Hunter+Warrior,Warlock+Paladin,20,0,20,0,0.0000,0.0000
Hunter+Warrior,Warlock+Hunter,20,16,4,0,0.8000,0.0000
Hunter+Warrior,Paladin+Hunter,20,10,10,0,0.5000,0.0000
Hunter+Mage,Warrior+Mage,20,19,1,0,0.9500,0.0000
Hunter+Mage,Warrior+Rogue,20,20,0,0,1.0000,0.0000
Hunter+Mage,Warrior+Priest,20,6,14,0,0.3000,0.0000
Hunter+Mage,Warrior+Warlock,20,20,0,0,1.0000,0.0000
Hunter+Mage,Warrior+Paladin,20,19,1,0,0.9500,0.0000
Hunter+Mage,Warrior+Hunter,20,20,0,0,1.0000,0.0000
Hunter+Mage,Mage+Rogue,20,20,0,0,1.0000,0.0000
Hunter+Mage,Mage+Priest,20,2,18,0,0.1000,0.0000
