label,team1,team2,seed,winner,end_reason,duration_secs
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,0,team1,kill,35.43
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,0,team2,kill,45.23
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,1,team1,kill,105.69
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,1,team2,kill,42.10
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,2,team2,kill,37.80
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,2,draw,cap,300.00
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,3,team2,kill,37.82
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,3,team2,kill,40.83
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,4,team1,kill,37.73
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,4,team2,kill,34.53
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,5,team1,kill,38.45
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,5,draw,cap,300.00
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,6,team1,kill,41.10
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,6,team2,kill,31.73
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,7,team1,kill,37.80
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,7,team2,kill,32.95
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,8,draw,cap,300.00
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,8,draw,cap,300.00
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,9,team2,kill,34.12
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,9,draw,cap,300.00
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,10,draw,cap,300.00
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,10,draw,cap,300.00
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,11,team1,kill,37.80
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,11,team2,kill,37.80
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,12,draw,cap,300.00
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,12,team1,kill,46.37
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,13,team1,kill,40.83
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,13,team2,kill,33.17
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,14,team1,kill,37.80
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,14,team2,kill,30.40
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,15,team2,kill,43.20
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,15,draw,cap,300.00
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,16,team1,kill,37.80
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,16,team2,kill,45.62
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,17,team1,kill,39.32
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,17,team2,kill,39.32
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,18,team1,kill,34.88
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,18,team1,kill,36.68
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,19,draw,cap,300.00
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,19,team2,kill,40.83
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,20,team1,kill,33.73
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,20,team2,kill,41.75
Warrior#Priest#fwd,Warrior+Shaman,Warrior+Priest,21,draw,cap,300.00
Warrior#Priest#swap,Warrior+Priest,Warrior+Shaman,21,team1,kill,38.85
