label,team1,team2,seed,winner,end_reason,duration_secs
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,1,team2,kill,38.55
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,2,team1,kill,42.93
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,3,team1,kill,50.85
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,4,team2,kill,33.55
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,5,team1,kill,37.92
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,6,team2,kill,30.58
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,7,team1,kill,48.87
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,8,team1,kill,46.30
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,9,team1,kill,44.18
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,10,team1,kill,46.45
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,11,team1,kill,40.67
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,12,team2,kill,42.45
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,13,team2,kill,37.60
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,14,team1,kill,52.40
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,15,team1,kill,52.47
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,16,team1,kill,44.60
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,17,team1,kill,52.92
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,18,team1,kill,45.10
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,19,team1,kill,46.88
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,20,team1,kill,44.67
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,21,team1,kill,38.63
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,22,team1,kill,39.90
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,23,team1,kill,46.47
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,24,team1,kill,41.45
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,25,team1,kill,46.28
