label,team1,team2,seed,winner,end_reason,duration_secs
LL,Warlock+Priest,Priest+Rogue,1,team2,kill,36.47
LL,Warlock+Priest,Priest+Rogue,2,team1,kill,38.82
LL,Warlock+Priest,Priest+Rogue,3,team1,kill,35.82
LL,Warlock+Priest,Priest+Rogue,4,team2,kill,37.97
LL,Warlock+Priest,Priest+Rogue,5,team2,kill,39.90
LL,Warlock+Priest,Priest+Rogue,6,team2,kill,42.45
LL,Warlock+Priest,Priest+Rogue,7,team1,kill,38.82
LL,Warlock+Priest,Priest+Rogue,8,team2,kill,33.13
LL,Warlock+Priest,Priest+Rogue,9,team1,kill,48.08
LL,Warlock+Priest,Priest+Rogue,10,team1,kill,36.73
LL,Warlock+Priest,Priest+Rogue,11,team2,kill,54.90
LL,Warlock+Priest,Priest+Rogue,12,team1,kill,38.15
LL,Warlock+Priest,Priest+Rogue,13,team2,kill,57.90
LL,Warlock+Priest,Priest+Rogue,14,team2,kill,29.40
LL,Warlock+Priest,Priest+Rogue,15,team2,kill,36.93
LL,Warlock+Priest,Priest+Rogue,16,team1,kill,55.60
LL,Warlock+Priest,Priest+Rogue,17,team2,kill,35.82
LL,Warlock+Priest,Priest+Rogue,18,team1,kill,39.65
LL,Warlock+Priest,Priest+Rogue,19,team2,kill,44.10
LL,Warlock+Priest,Priest+Rogue,20,team1,kill,36.45
LL,Warlock+Priest,Priest+Rogue,21,team2,kill,36.98
LL,Warlock+Priest,Priest+Rogue,22,team2,kill,31.23
LL,Warlock+Priest,Priest+Rogue,23,team2,kill,31.77
LL,Warlock+Priest,Priest+Rogue,24,team1,kill,33.63
LL,Warlock+Priest,Priest+Rogue,25,team2,kill,48.25
LL,Warlock+Priest,Priest+Rogue,26,team2,kill,64.70
LL,Warlock+Priest,Priest+Rogue,27,team2,kill,49.55
LL,Warlock+Priest,Priest+Rogue,28,team2,kill,52.03
LL,Warlock+Priest,Priest+Rogue,29,team1,kill,47.87
LL,Warlock+Priest,Priest+Rogue,30,team1,kill,35.17
LL,Warlock+Priest,Priest+Rogue,31,team2,kill,32.20
LL,Warlock+Priest,Priest+Rogue,32,team2,kill,31.12
LL,Warlock+Priest,Priest+Rogue,33,team1,kill,34.65
LL,Warlock+Priest,Priest+Rogue,34,team2,kill,56.12
LL,Warlock+Priest,Priest+Rogue,35,team2,kill,50.78
LL,Warlock+Priest,Priest+Rogue,36,team2,kill,53.73
LL,Warlock+Priest,Priest+Rogue,37,team2,kill,31.93
LL,Warlock+Priest,Priest+Rogue,38,team1,kill,37.67
LL,Warlock+Priest,Priest+Rogue,39,team2,kill,29.13
LL,Warlock+Priest,Priest+Rogue,40,team2,kill,51.52
LL,Warlock+Priest,Priest+Rogue,41,team1,kill,33.82
LL,Warlock+Priest,Priest+Rogue,42,team1,kill,43.58
LL,Warlock+Priest,Priest+Rogue,43,team2,kill,51.87
LL,Warlock+Priest,Priest+Rogue,44,team2,kill,52.88
LL,Warlock+Priest,Priest+Rogue,45,team2,kill,29.35
LL,Warlock+Priest,Priest+Rogue,46,team1,kill,33.85
LL,Warlock+Priest,Priest+Rogue,47,team1,kill,53.05
LL,Warlock+Priest,Priest+Rogue,48,team2,kill,52.85
LL,Warlock+Priest,Priest+Rogue,49,team2,kill,52.48
LL,Warlock+Priest,Priest+Rogue,50,team2,kill,38.25
LL,Warlock+Priest,Priest+Rogue,51,team2,kill,53.22
LL,Warlock+Priest,Priest+Rogue,52,team1,kill,44.70
LL,Warlock+Priest,Priest+Rogue,53,team2,kill,36.58
LL,Warlock+Priest,Priest+Rogue,54,team2,kill,47.60
LL,Warlock+Priest,Priest+Rogue,55,team1,kill,36.15
LL,Warlock+Priest,Priest+Rogue,56,team1,kill,43.68
LL,Warlock+Priest,Priest+Rogue,57,team1,kill,40.75
LL,Warlock+Priest,Priest+Rogue,58,team2,kill,31.18
LL,Warlock+Priest,Priest+Rogue,59,team2,kill,30.13
LL,Warlock+Priest,Priest+Rogue,60,team2,kill,27.40
LL,Warlock+Priest,Priest+Rogue,61,team1,kill,53.92
LL,Warlock+Priest,Priest+Rogue,62,team1,kill,41.42
LL,Warlock+Priest,Priest+Rogue,63,team2,kill,38.55
LL,Warlock+Priest,Priest+Rogue,64,team1,kill,37.50
LL,Warlock+Priest,Priest+Rogue,65,team1,kill,36.90
LL,Warlock+Priest,Priest+Rogue,66,team2,kill,40.80
LL,Warlock+Priest,Priest+Rogue,67,team2,kill,29.47
LL,Warlock+Priest,Priest+Rogue,68,team2,kill,36.95
LL,Warlock+Priest,Priest+Rogue,69,team1,kill,39.85
LL,Warlock+Priest,Priest+Rogue,70,team2,kill,30.85
LL,Warlock+Priest,Priest+Rogue,71,team2,kill,38.42
LL,Warlock+Priest,Priest+Rogue,72,team2,kill,51.82
LL,Warlock+Priest,Priest+Rogue,73,team2,kill,37.90
LL,Warlock+Priest,Priest+Rogue,74,team1,kill,60.55
LL,Warlock+Priest,Priest+Rogue,75,team2,kill,53.07
LL,Warlock+Priest,Priest+Rogue,76,team2,kill,50.67
LL,Warlock+Priest,Priest+Rogue,77,team1,kill,32.25
LL,Warlock+Priest,Priest+Rogue,78,team1,kill,37.58
LL,Warlock+Priest,Priest+Rogue,79,team1,kill,40.75
LL,Warlock+Priest,Priest+Rogue,80,team2,kill,33.15
LL,Warlock+Priest,Priest+Rogue,81,team2,kill,39.93
LL,Warlock+Priest,Priest+Rogue,82,team1,kill,36.93
LL,Warlock+Priest,Priest+Rogue,83,team1,kill,48.47
LL,Warlock+Priest,Priest+Rogue,84,team2,kill,51.50
LL,Warlock+Priest,Priest+Rogue,85,team2,kill,56.55
LL,Warlock+Priest,Priest+Rogue,86,team1,kill,38.68
LL,Warlock+Priest,Priest+Rogue,87,team1,kill,38.77
LL,Warlock+Priest,Priest+Rogue,88,team2,kill,56.65
LL,Warlock+Priest,Priest+Rogue,89,team2,kill,52.97
LL,Warlock+Priest,Priest+Rogue,90,team2,kill,32.67
LL,Warlock+Priest,Priest+Rogue,91,team2,kill,53.30
LL,Warlock+Priest,Priest+Rogue,92,team2,kill,44.27
LL,Warlock+Priest,Priest+Rogue,93,team2,kill,59.88
LL,Warlock+Priest,Priest+Rogue,94,team2,kill,34.35
LL,Warlock+Priest,Priest+Rogue,95,team1,kill,41.83
LL,Warlock+Priest,Priest+Rogue,96,team2,kill,29.47
LL,Warlock+Priest,Priest+Rogue,97,team2,kill,43.10
LL,Warlock+Priest,Priest+Rogue,98,team2,kill,31.43
LL,Warlock+Priest,Priest+Rogue,99,team1,kill,35.52
LL,Warlock+Priest,Priest+Rogue,100,team1,kill,39.02
LL,Warlock+Priest,Priest+Rogue,101,team1,kill,46.08
LL,Warlock+Priest,Priest+Rogue,102,team2,kill,39.67
LL,Warlock+Priest,Priest+Rogue,103,team1,kill,45.75
LL,Warlock+Priest,Priest+Rogue,104,team1,kill,56.70
LL,Warlock+Priest,Priest+Rogue,105,team2,kill,53.73
LL,Warlock+Priest,Priest+Rogue,106,team2,kill,44.57
LL,Warlock+Priest,Priest+Rogue,107,team2,kill,38.32
LL,Warlock+Priest,Priest+Rogue,108,team2,kill,38.38
LL,Warlock+Priest,Priest+Rogue,109,team2,kill,60.35
LL,Warlock+Priest,Priest+Rogue,110,team2,kill,53.80
LL,Warlock+Priest,Priest+Rogue,111,team1,kill,45.40
LL,Warlock+Priest,Priest+Rogue,112,team2,kill,50.85
LL,Warlock+Priest,Priest+Rogue,113,team2,kill,41.05
LL,Warlock+Priest,Priest+Rogue,114,team2,kill,38.02
LL,Warlock+Priest,Priest+Rogue,115,team2,kill,27.12
LL,Warlock+Priest,Priest+Rogue,116,team1,kill,48.57
LL,Warlock+Priest,Priest+Rogue,117,team1,kill,36.83
LL,Warlock+Priest,Priest+Rogue,118,team1,kill,32.80
LL,Warlock+Priest,Priest+Rogue,119,team2,kill,35.63
LL,Warlock+Priest,Priest+Rogue,120,team2,kill,35.85
LL,Warlock+Priest,Priest+Rogue,121,team1,kill,43.30
LL,Warlock+Priest,Priest+Rogue,122,team1,kill,37.63
LL,Warlock+Priest,Priest+Rogue,123,team1,kill,58.82
LL,Warlock+Priest,Priest+Rogue,124,team1,kill,36.83
LL,Warlock+Priest,Priest+Rogue,125,team1,kill,36.45
LL,Warlock+Priest,Priest+Rogue,126,team2,kill,29.52
LL,Warlock+Priest,Priest+Rogue,127,team2,kill,32.92
LL,Warlock+Priest,Priest+Rogue,128,team2,kill,57.55
