label,team1,team2,seed,winner,end_reason,duration_secs
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,1,team2,kill,62.27
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,2,team2,kill,52.12
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,3,team2,kill,45.02
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,4,team1,kill,53.08
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,5,team2,kill,44.00
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,6,team1,kill,54.08
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,7,team2,kill,45.63
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,8,team1,kill,58.37
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,9,team2,kill,45.18
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,10,team2,kill,49.80
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,11,team2,kill,43.65
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,12,team1,kill,66.85
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,13,team2,kill,55.88
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,14,team2,kill,65.63
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,15,team2,kill,49.28
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,16,team2,kill,44.28
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,17,team1,kill,58.43
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,18,team1,kill,37.88
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,19,team2,kill,46.32
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,20,team2,kill,62.03
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,21,team2,kill,47.53
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,22,team1,kill,56.35
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,23,team2,kill,78.14
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,24,team2,kill,55.93
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,25,team1,kill,60.42
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,26,team1,kill,45.65
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,27,team2,kill,61.42
LL,Warlock+Priest+Mage,Priest+Warrior+Rogue,28,team1,kill,54.18
