label,team1,team2,seed,winner,end_reason,duration_secs
LL,Warlock+Priest,Priest+Rogue,1,team1,kill,64.23
LL,Warlock+Priest,Priest+Rogue,2,team2,kill,44.90
LL,Warlock+Priest,Priest+Rogue,3,team1,kill,52.10
LL,Warlock+Priest,Priest+Rogue,4,team2,kill,53.67
LL,Warlock+Priest,Priest+Rogue,5,team2,kill,58.43
LL,Warlock+Priest,Priest+Rogue,6,team2,kill,54.88
LL,Warlock+Priest,Priest+Rogue,7,team2,kill,49.77
LL,Warlock+Priest,Priest+Rogue,8,team2,kill,60.33
LL,Warlock+Priest,Priest+Rogue,9,team2,kill,52.03
LL,Warlock+Priest,Priest+Rogue,10,team2,kill,49.60
LL,Warlock+Priest,Priest+Rogue,11,team1,kill,43.58
LL,Warlock+Priest,Priest+Rogue,12,team2,kill,56.67
LL,Warlock+Priest,Priest+Rogue,13,team2,kill,63.40
LL,Warlock+Priest,Priest+Rogue,14,team2,kill,71.60
LL,Warlock+Priest,Priest+Rogue,15,team2,kill,40.80
LL,Warlock+Priest,Priest+Rogue,16,team1,kill,57.55
LL,Warlock+Priest,Priest+Rogue,17,team2,kill,61.52
LL,Warlock+Priest,Priest+Rogue,18,team2,kill,82.09
LL,Warlock+Priest,Priest+Rogue,19,team2,kill,61.92
LL,Warlock+Priest,Priest+Rogue,20,team1,kill,63.27
LL,Warlock+Priest,Priest+Rogue,21,team1,kill,62.05
LL,Warlock+Priest,Priest+Rogue,22,team2,kill,39.80
LL,Warlock+Priest,Priest+Rogue,23,team1,kill,53.12
LL,Warlock+Priest,Priest+Rogue,24,team2,kill,36.70
LL,Warlock+Priest,Priest+Rogue,25,team2,kill,63.85
LL,Warlock+Priest,Priest+Rogue,26,team1,kill,53.23
LL,Warlock+Priest,Priest+Rogue,27,team2,kill,63.90
LL,Warlock+Priest,Priest+Rogue,28,team1,kill,46.05
LL,Warlock+Priest,Priest+Rogue,29,team2,kill,60.90
LL,Warlock+Priest,Priest+Rogue,30,team2,kill,74.20
LL,Warlock+Priest,Priest+Rogue,31,team1,kill,60.90
LL,Warlock+Priest,Priest+Rogue,32,team1,kill,54.40
LL,Warlock+Priest,Priest+Rogue,33,team2,kill,67.85
LL,Warlock+Priest,Priest+Rogue,34,team2,kill,59.10
LL,Warlock+Priest,Priest+Rogue,35,team1,kill,44.88
LL,Warlock+Priest,Priest+Rogue,36,team1,kill,61.33
LL,Warlock+Priest,Priest+Rogue,37,team2,kill,63.30
LL,Warlock+Priest,Priest+Rogue,38,team1,kill,47.20
LL,Warlock+Priest,Priest+Rogue,39,team2,kill,53.75
LL,Warlock+Priest,Priest+Rogue,40,team2,kill,60.08
LL,Warlock+Priest,Priest+Rogue,41,team2,kill,57.82
LL,Warlock+Priest,Priest+Rogue,42,team1,kill,46.75
LL,Warlock+Priest,Priest+Rogue,43,team1,kill,42.82
