label,team1,team2,seed,winner,end_reason,duration_secs
LL,Shaman+Warrior,Priest+Warlock,1,team2,kill,57.98
LL,Shaman+Warrior,Priest+Warlock,2,team1,kill,38.37
LL,Shaman+Warrior,Priest+Warlock,3,team2,kill,58.97
LL,Shaman+Warrior,Priest+Warlock,4,team1,kill,44.80
LL,Shaman+Warrior,Priest+Warlock,5,team2,kill,56.20
LL,Shaman+Warrior,Priest+Warlock,6,team2,kill,167.20
LL,Shaman+Warrior,Priest+Warlock,7,team1,kill,38.73
LL,Shaman+Warrior,Priest+Warlock,8,team1,kill,39.12
LL,Shaman+Warrior,Priest+Warlock,9,team1,kill,39.08
LL,Shaman+Warrior,Priest+Warlock,10,team1,kill,39.38
LL,Shaman+Warrior,Priest+Warlock,11,team1,kill,38.22
LL,Shaman+Warrior,Priest+Warlock,12,team1,kill,46.52
LL,Shaman+Warrior,Priest+Warlock,13,team2,kill,58.40
LL,Shaman+Warrior,Priest+Warlock,14,team1,kill,39.57
LL,Shaman+Warrior,Priest+Warlock,15,team1,kill,42.42
LL,Shaman+Warrior,Priest+Warlock,16,team2,kill,96.12
LL,Shaman+Warrior,Priest+Warlock,17,team2,kill,65.18
LL,Shaman+Warrior,Priest+Warlock,18,team1,kill,46.67
LL,Shaman+Warrior,Priest+Warlock,19,team2,kill,61.50
LL,Shaman+Warrior,Priest+Warlock,20,team2,kill,65.80
LL,Shaman+Warrior,Priest+Warlock,21,team1,kill,39.82
LL,Shaman+Warrior,Priest+Warlock,22,team2,kill,73.27
LL,Shaman+Warrior,Priest+Warlock,23,team2,kill,65.08
LL,Shaman+Warrior,Priest+Warlock,24,team2,kill,173.70
LL,Shaman+Warrior,Priest+Warlock,25,team2,kill,75.23
LL,Shaman+Warrior,Priest+Warlock,26,team2,kill,114.96
LL,Shaman+Warrior,Priest+Warlock,27,team2,kill,75.80
LL,Shaman+Warrior,Priest+Warlock,28,team2,kill,172.14
LL,Shaman+Warrior,Priest+Warlock,29,team1,kill,38.20
LL,Shaman+Warrior,Priest+Warlock,30,team1,kill,45.75
LL,Shaman+Warrior,Priest+Warlock,31,team1,kill,33.48
LL,Shaman+Warrior,Priest+Warlock,32,team1,kill,47.53
LL,Shaman+Warrior,Priest+Warlock,33,team2,kill,74.73
LL,Shaman+Warrior,Priest+Warlock,34,team2,kill,61.23
LL,Shaman+Warrior,Priest+Warlock,35,team1,kill,41.45
LL,Shaman+Warrior,Priest+Warlock,36,team2,kill,98.27
LL,Shaman+Warrior,Priest+Warlock,37,team2,kill,57.82
LL,Shaman+Warrior,Priest+Warlock,38,team1,kill,44.58
LL,Shaman+Warrior,Priest+Warlock,39,team1,kill,39.40
LL,Shaman+Warrior,Priest+Warlock,40,team1,kill,33.23
LL,Shaman+Warrior,Priest+Warlock,41,team1,kill,40.02
LL,Shaman+Warrior,Priest+Warlock,42,team2,kill,54.28
LL,Shaman+Warrior,Priest+Warlock,43,team1,kill,38.32
LL,Shaman+Warrior,Priest+Warlock,44,team1,kill,38.38
LL,Shaman+Warrior,Priest+Warlock,45,team2,kill,60.35
LL,Shaman+Warrior,Priest+Warlock,46,team1,kill,42.40
LL,Shaman+Warrior,Priest+Warlock,47,team2,kill,67.30
LL,Shaman+Warrior,Priest+Warlock,48,team2,kill,62.23
LL,Shaman+Warrior,Priest+Warlock,49,team1,kill,45.95
LL,Shaman+Warrior,Priest+Warlock,50,team2,kill,71.77
LL,Shaman+Warrior,Priest+Warlock,51,team1,kill,52.57
LL,Shaman+Warrior,Priest+Warlock,52,team2,kill,161.27
LL,Shaman+Warrior,Priest+Warlock,53,team2,kill,53.20
LL,Shaman+Warrior,Priest+Warlock,54,team1,kill,35.62
LL,Shaman+Warrior,Priest+Warlock,55,team2,kill,65.25
LL,Shaman+Warrior,Priest+Warlock,56,team1,kill,38.63
LL,Shaman+Warrior,Priest+Warlock,57,team2,kill,60.65
LL,Shaman+Warrior,Priest+Warlock,58,team2,kill,76.04
LL,Shaman+Warrior,Priest+Warlock,59,team1,kill,38.75
LL,Shaman+Warrior,Priest+Warlock,60,team1,kill,43.40
LL,Shaman+Warrior,Priest+Warlock,61,team1,kill,39.53
LL,Shaman+Warrior,Priest+Warlock,62,team2,kill,75.00
LL,Shaman+Warrior,Priest+Warlock,63,team2,kill,66.40
LL,Shaman+Warrior,Priest+Warlock,64,team1,kill,31.62
LL,Shaman+Warrior,Priest+Warlock,65,team1,kill,44.72
LL,Shaman+Warrior,Priest+Warlock,66,team1,kill,39.58
LL,Shaman+Warrior,Priest+Warlock,67,team1,kill,37.23
LL,Shaman+Warrior,Priest+Warlock,68,team2,kill,53.67
LL,Shaman+Warrior,Priest+Warlock,69,team1,kill,44.65
LL,Shaman+Warrior,Priest+Warlock,70,team1,kill,32.55
LL,Shaman+Warrior,Priest+Warlock,71,team2,kill,56.20
LL,Shaman+Warrior,Priest+Warlock,72,team1,kill,38.98
LL,Shaman+Warrior,Priest+Warlock,73,team2,kill,72.73
LL,Shaman+Warrior,Priest+Warlock,74,team1,kill,50.22
LL,Shaman+Warrior,Priest+Warlock,75,team2,kill,67.23
LL,Shaman+Warrior,Priest+Warlock,76,team2,kill,56.27
LL,Shaman+Warrior,Priest+Warlock,77,team2,kill,57.20
LL,Shaman+Warrior,Priest+Warlock,78,team1,kill,38.53
LL,Shaman+Warrior,Priest+Warlock,79,team1,kill,40.03
LL,Shaman+Warrior,Priest+Warlock,80,team1,kill,34.97
LL,Shaman+Warrior,Priest+Warlock,81,team1,kill,35.93
LL,Shaman+Warrior,Priest+Warlock,82,team1,kill,38.93
LL,Shaman+Warrior,Priest+Warlock,83,team2,kill,56.20
LL,Shaman+Warrior,Priest+Warlock,84,team2,kill,75.52
LL,Shaman+Warrior,Priest+Warlock,85,team2,kill,72.32
LL,Shaman+Warrior,Priest+Warlock,86,team1,kill,43.80
LL,Shaman+Warrior,Priest+Warlock,87,team1,kill,65.40
LL,Shaman+Warrior,Priest+Warlock,88,team2,kill,66.12
LL,Shaman+Warrior,Priest+Warlock,89,team2,kill,62.53
LL,Shaman+Warrior,Priest+Warlock,90,team1,kill,46.33
LL,Shaman+Warrior,Priest+Warlock,91,team2,kill,70.25
LL,Shaman+Warrior,Priest+Warlock,92,team1,kill,44.50
LL,Shaman+Warrior,Priest+Warlock,93,team1,kill,39.07
LL,Shaman+Warrior,Priest+Warlock,94,team1,kill,34.35
LL,Shaman+Warrior,Priest+Warlock,95,team1,kill,35.38
LL,Shaman+Warrior,Priest+Warlock,96,team1,kill,43.17
LL,Shaman+Warrior,Priest+Warlock,97,team2,kill,50.40
LL,Shaman+Warrior,Priest+Warlock,98,team1,kill,39.55
LL,Shaman+Warrior,Priest+Warlock,99,team2,kill,72.32
LL,Shaman+Warrior,Priest+Warlock,100,team2,kill,89.92
LL,Shaman+Warrior,Priest+Warlock,101,team1,kill,33.13
LL,Shaman+Warrior,Priest+Warlock,102,team1,kill,52.93
LL,Shaman+Warrior,Priest+Warlock,103,team2,kill,89.22
LL,Shaman+Warrior,Priest+Warlock,104,team2,kill,61.00
LL,Shaman+Warrior,Priest+Warlock,105,team2,kill,73.90
LL,Shaman+Warrior,Priest+Warlock,106,team1,kill,49.88
LL,Shaman+Warrior,Priest+Warlock,107,team1,kill,42.33
LL,Shaman+Warrior,Priest+Warlock,108,team1,kill,45.45
LL,Shaman+Warrior,Priest+Warlock,109,team2,kill,57.78
LL,Shaman+Warrior,Priest+Warlock,110,team1,kill,38.12
LL,Shaman+Warrior,Priest+Warlock,111,team2,kill,67.23
LL,Shaman+Warrior,Priest+Warlock,112,team1,kill,44.18
LL,Shaman+Warrior,Priest+Warlock,113,team2,kill,90.80
LL,Shaman+Warrior,Priest+Warlock,114,team2,kill,62.50
LL,Shaman+Warrior,Priest+Warlock,115,team1,kill,45.38
LL,Shaman+Warrior,Priest+Warlock,116,team1,kill,79.32
LL,Shaman+Warrior,Priest+Warlock,117,team1,kill,45.07
LL,Shaman+Warrior,Priest+Warlock,118,team1,kill,42.98
LL,Shaman+Warrior,Priest+Warlock,119,team2,kill,97.41
LL,Shaman+Warrior,Priest+Warlock,120,team1,kill,36.05
LL,Shaman+Warrior,Priest+Warlock,121,team1,kill,47.88
LL,Shaman+Warrior,Priest+Warlock,122,team1,kill,38.10
LL,Shaman+Warrior,Priest+Warlock,123,team2,kill,61.63
LL,Shaman+Warrior,Priest+Warlock,124,team2,kill,65.25
LL,Shaman+Warrior,Priest+Warlock,125,team2,kill,46.58
LL,Shaman+Warrior,Priest+Warlock,126,team2,kill,47.60
LL,Shaman+Warrior,Priest+Warlock,127,team1,kill,48.87
LL,Shaman+Warrior,Priest+Warlock,128,team2,kill,59.50
LL,Shaman+Warrior,Priest+Warlock,129,team2,kill,63.27
LL,Shaman+Warrior,Priest+Warlock,130,team2,kill,75.00
LL,Shaman+Warrior,Priest+Warlock,131,team1,kill,35.55
LL,Shaman+Warrior,Priest+Warlock,132,team1,kill,66.33
LL,Shaman+Warrior,Priest+Warlock,133,team1,kill,52.67
LL,Shaman+Warrior,Priest+Warlock,134,team1,kill,43.92
LL,Shaman+Warrior,Priest+Warlock,135,team1,kill,52.12
LL,Shaman+Warrior,Priest+Warlock,136,team1,kill,45.22
LL,Shaman+Warrior,Priest+Warlock,137,team2,kill,63.20
LL,Shaman+Warrior,Priest+Warlock,138,team1,kill,65.30
LL,Shaman+Warrior,Priest+Warlock,139,team1,kill,33.02
LL,Shaman+Warrior,Priest+Warlock,140,team2,kill,56.43
LL,Shaman+Warrior,Priest+Warlock,141,team2,kill,71.37
LL,Shaman+Warrior,Priest+Warlock,142,team2,kill,86.75
LL,Shaman+Warrior,Priest+Warlock,143,team2,kill,67.35
LL,Shaman+Warrior,Priest+Warlock,144,team1,kill,40.75
LL,Shaman+Warrior,Priest+Warlock,145,team1,kill,36.73
LL,Shaman+Warrior,Priest+Warlock,146,team1,kill,50.43
LL,Shaman+Warrior,Priest+Warlock,147,team2,kill,60.12
LL,Shaman+Warrior,Priest+Warlock,148,team2,kill,64.22
LL,Shaman+Warrior,Priest+Warlock,149,team2,kill,60.77
LL,Shaman+Warrior,Priest+Warlock,150,team1,kill,48.97
TL,Shaman+Warrior,Priest+Warlock,1,team2,kill,57.98
TL,Shaman+Warrior,Priest+Warlock,2,team1,kill,38.35
TL,Shaman+Warrior,Priest+Warlock,3,team2,kill,58.97
TL,Shaman+Warrior,Priest+Warlock,4,team2,kill,56.32
TL,Shaman+Warrior,Priest+Warlock,5,team2,kill,56.20
TL,Shaman+Warrior,Priest+Warlock,6,team1,kill,43.85
TL,Shaman+Warrior,Priest+Warlock,7,team1,kill,38.53
TL,Shaman+Warrior,Priest+Warlock,8,team1,kill,39.12
TL,Shaman+Warrior,Priest+Warlock,9,team1,kill,39.08
TL,Shaman+Warrior,Priest+Warlock,10,team1,kill,39.38
TL,Shaman+Warrior,Priest+Warlock,11,team2,kill,67.28
TL,Shaman+Warrior,Priest+Warlock,12,team1,kill,46.52
TL,Shaman+Warrior,Priest+Warlock,13,team2,kill,58.40
TL,Shaman+Warrior,Priest+Warlock,14,team1,kill,39.57
TL,Shaman+Warrior,Priest+Warlock,15,team2,kill,75.07
TL,Shaman+Warrior,Priest+Warlock,16,team2,kill,96.12
TL,Shaman+Warrior,Priest+Warlock,17,team2,kill,65.18
TL,Shaman+Warrior,Priest+Warlock,18,team1,kill,46.67
TL,Shaman+Warrior,Priest+Warlock,19,team2,kill,61.50
TL,Shaman+Warrior,Priest+Warlock,20,team2,kill,65.80
TL,Shaman+Warrior,Priest+Warlock,21,team1,kill,47.93
TL,Shaman+Warrior,Priest+Warlock,22,team1,kill,39.13
TL,Shaman+Warrior,Priest+Warlock,23,team2,kill,65.08
TL,Shaman+Warrior,Priest+Warlock,24,team2,kill,173.70
TL,Shaman+Warrior,Priest+Warlock,25,team2,kill,75.23
TL,Shaman+Warrior,Priest+Warlock,26,team2,kill,114.96
TL,Shaman+Warrior,Priest+Warlock,27,team2,kill,75.80
TL,Shaman+Warrior,Priest+Warlock,28,team1,kill,38.47
TL,Shaman+Warrior,Priest+Warlock,29,team1,kill,48.45
TL,Shaman+Warrior,Priest+Warlock,30,team1,kill,45.75
TL,Shaman+Warrior,Priest+Warlock,31,team1,kill,48.40
TL,Shaman+Warrior,Priest+Warlock,32,team1,kill,47.53
TL,Shaman+Warrior,Priest+Warlock,33,team2,kill,74.73
TL,Shaman+Warrior,Priest+Warlock,34,team2,kill,60.50
TL,Shaman+Warrior,Priest+Warlock,35,team1,kill,45.07
TL,Shaman+Warrior,Priest+Warlock,36,team2,kill,98.27
TL,Shaman+Warrior,Priest+Warlock,37,team2,kill,57.82
TL,Shaman+Warrior,Priest+Warlock,38,team1,kill,42.77
TL,Shaman+Warrior,Priest+Warlock,39,team1,kill,39.40
TL,Shaman+Warrior,Priest+Warlock,40,team2,kill,59.22
TL,Shaman+Warrior,Priest+Warlock,41,team1,kill,38.50
TL,Shaman+Warrior,Priest+Warlock,42,team2,kill,54.28
TL,Shaman+Warrior,Priest+Warlock,43,team1,kill,44.38
TL,Shaman+Warrior,Priest+Warlock,44,team1,kill,44.03
TL,Shaman+Warrior,Priest+Warlock,45,team2,kill,60.35
TL,Shaman+Warrior,Priest+Warlock,46,team1,kill,42.40
TL,Shaman+Warrior,Priest+Warlock,47,team2,kill,67.30
TL,Shaman+Warrior,Priest+Warlock,48,team2,kill,62.23
TL,Shaman+Warrior,Priest+Warlock,49,team2,kill,197.55
TL,Shaman+Warrior,Priest+Warlock,50,team2,kill,71.77
TL,Shaman+Warrior,Priest+Warlock,51,team1,kill,52.57
TL,Shaman+Warrior,Priest+Warlock,52,team1,kill,47.28
TL,Shaman+Warrior,Priest+Warlock,53,team2,kill,53.20
TL,Shaman+Warrior,Priest+Warlock,54,team1,kill,47.07
TL,Shaman+Warrior,Priest+Warlock,55,team2,kill,65.25
TL,Shaman+Warrior,Priest+Warlock,56,team1,kill,38.63
TL,Shaman+Warrior,Priest+Warlock,57,team2,kill,64.88
TL,Shaman+Warrior,Priest+Warlock,58,team1,kill,60.32
TL,Shaman+Warrior,Priest+Warlock,59,team1,kill,43.98
TL,Shaman+Warrior,Priest+Warlock,60,team2,kill,63.02
TL,Shaman+Warrior,Priest+Warlock,61,team2,kill,62.33
TL,Shaman+Warrior,Priest+Warlock,62,team2,kill,75.00
TL,Shaman+Warrior,Priest+Warlock,63,team2,kill,66.40
TL,Shaman+Warrior,Priest+Warlock,64,team1,kill,31.62
TL,Shaman+Warrior,Priest+Warlock,65,team1,kill,43.17
TL,Shaman+Warrior,Priest+Warlock,66,team1,kill,39.58
TL,Shaman+Warrior,Priest+Warlock,67,team2,kill,65.25
TL,Shaman+Warrior,Priest+Warlock,68,team2,kill,53.67
TL,Shaman+Warrior,Priest+Warlock,69,team1,kill,42.27
TL,Shaman+Warrior,Priest+Warlock,70,team1,kill,35.52
TL,Shaman+Warrior,Priest+Warlock,71,team2,kill,56.20
TL,Shaman+Warrior,Priest+Warlock,72,team1,kill,38.98
TL,Shaman+Warrior,Priest+Warlock,73,team2,kill,72.73
TL,Shaman+Warrior,Priest+Warlock,74,team1,kill,39.88
TL,Shaman+Warrior,Priest+Warlock,75,team1,kill,40.00
TL,Shaman+Warrior,Priest+Warlock,76,team2,kill,56.27
TL,Shaman+Warrior,Priest+Warlock,77,team2,kill,57.20
TL,Shaman+Warrior,Priest+Warlock,78,team1,kill,38.52
TL,Shaman+Warrior,Priest+Warlock,79,team1,kill,40.03
TL,Shaman+Warrior,Priest+Warlock,80,team2,kill,50.93
TL,Shaman+Warrior,Priest+Warlock,81,team1,kill,42.08
TL,Shaman+Warrior,Priest+Warlock,82,team1,kill,38.93
TL,Shaman+Warrior,Priest+Warlock,83,team2,kill,56.20
TL,Shaman+Warrior,Priest+Warlock,84,team2,kill,68.85
TL,Shaman+Warrior,Priest+Warlock,85,team2,kill,72.32
TL,Shaman+Warrior,Priest+Warlock,86,team1,kill,37.47
TL,Shaman+Warrior,Priest+Warlock,87,team1,kill,65.40
TL,Shaman+Warrior,Priest+Warlock,88,team2,kill,66.12
TL,Shaman+Warrior,Priest+Warlock,89,team2,kill,62.23
TL,Shaman+Warrior,Priest+Warlock,90,team1,kill,46.33
TL,Shaman+Warrior,Priest+Warlock,91,team1,kill,45.07
TL,Shaman+Warrior,Priest+Warlock,92,team1,kill,44.50
TL,Shaman+Warrior,Priest+Warlock,93,team1,kill,40.58
TL,Shaman+Warrior,Priest+Warlock,94,team1,kill,46.43
TL,Shaman+Warrior,Priest+Warlock,95,team1,kill,35.38
TL,Shaman+Warrior,Priest+Warlock,96,team1,kill,43.17
TL,Shaman+Warrior,Priest+Warlock,97,team2,kill,50.40
TL,Shaman+Warrior,Priest+Warlock,98,team2,kill,63.78
TL,Shaman+Warrior,Priest+Warlock,99,team2,kill,72.32
TL,Shaman+Warrior,Priest+Warlock,100,team2,kill,89.92
TL,Shaman+Warrior,Priest+Warlock,101,team1,kill,32.35
TL,Shaman+Warrior,Priest+Warlock,102,team1,kill,38.37
TL,Shaman+Warrior,Priest+Warlock,103,team1,kill,49.40
TL,Shaman+Warrior,Priest+Warlock,104,team2,kill,45.45
TL,Shaman+Warrior,Priest+Warlock,105,team2,kill,73.90
TL,Shaman+Warrior,Priest+Warlock,106,team1,kill,49.88
TL,Shaman+Warrior,Priest+Warlock,107,team2,kill,58.45
TL,Shaman+Warrior,Priest+Warlock,108,team1,kill,44.18
TL,Shaman+Warrior,Priest+Warlock,109,team2,kill,57.78
TL,Shaman+Warrior,Priest+Warlock,110,team2,kill,164.39
TL,Shaman+Warrior,Priest+Warlock,111,team2,kill,166.92
TL,Shaman+Warrior,Priest+Warlock,112,team1,kill,44.18
TL,Shaman+Warrior,Priest+Warlock,113,team2,kill,90.80
TL,Shaman+Warrior,Priest+Warlock,114,team2,kill,61.40
TL,Shaman+Warrior,Priest+Warlock,115,team1,kill,45.38
TL,Shaman+Warrior,Priest+Warlock,116,team1,kill,79.32
TL,Shaman+Warrior,Priest+Warlock,117,team2,kill,64.23
TL,Shaman+Warrior,Priest+Warlock,118,team1,kill,41.50
TL,Shaman+Warrior,Priest+Warlock,119,team2,kill,97.41
TL,Shaman+Warrior,Priest+Warlock,120,team1,kill,41.75
TL,Shaman+Warrior,Priest+Warlock,121,team2,kill,64.35
TL,Shaman+Warrior,Priest+Warlock,122,team2,kill,76.04
TL,Shaman+Warrior,Priest+Warlock,123,team2,kill,61.63
TL,Shaman+Warrior,Priest+Warlock,124,team2,kill,65.25
TL,Shaman+Warrior,Priest+Warlock,125,team2,kill,46.58
TL,Shaman+Warrior,Priest+Warlock,126,team2,kill,44.25
TL,Shaman+Warrior,Priest+Warlock,127,team1,kill,41.28
TL,Shaman+Warrior,Priest+Warlock,128,team2,kill,59.50
TL,Shaman+Warrior,Priest+Warlock,129,team2,kill,63.27
TL,Shaman+Warrior,Priest+Warlock,130,team1,kill,42.98
TL,Shaman+Warrior,Priest+Warlock,131,team2,kill,64.77
TL,Shaman+Warrior,Priest+Warlock,132,team1,kill,66.33
TL,Shaman+Warrior,Priest+Warlock,133,team1,kill,52.67
TL,Shaman+Warrior,Priest+Warlock,134,team1,kill,43.92
TL,Shaman+Warrior,Priest+Warlock,135,team1,kill,52.12
TL,Shaman+Warrior,Priest+Warlock,136,team1,kill,45.22
TL,Shaman+Warrior,Priest+Warlock,137,team2,kill,63.20
TL,Shaman+Warrior,Priest+Warlock,138,team1,kill,65.30
TL,Shaman+Warrior,Priest+Warlock,139,team1,kill,41.97
TL,Shaman+Warrior,Priest+Warlock,140,team2,kill,56.43
TL,Shaman+Warrior,Priest+Warlock,141,team2,kill,71.37
TL,Shaman+Warrior,Priest+Warlock,142,team2,kill,86.75
TL,Shaman+Warrior,Priest+Warlock,143,team2,kill,67.35
TL,Shaman+Warrior,Priest+Warlock,144,team1,kill,45.50
TL,Shaman+Warrior,Priest+Warlock,145,team1,kill,36.73
TL,Shaman+Warrior,Priest+Warlock,146,team1,kill,50.43
TL,Shaman+Warrior,Priest+Warlock,147,team2,kill,60.12
TL,Shaman+Warrior,Priest+Warlock,148,team2,kill,62.23
TL,Shaman+Warrior,Priest+Warlock,149,team2,kill,60.77
TL,Shaman+Warrior,Priest+Warlock,150,team1,kill,38.25
LT,Shaman+Warrior,Priest+Warlock,1,team2,kill,57.98
LT,Shaman+Warrior,Priest+Warlock,2,team1,kill,38.37
LT,Shaman+Warrior,Priest+Warlock,3,team2,kill,58.97
LT,Shaman+Warrior,Priest+Warlock,4,team1,kill,44.80
LT,Shaman+Warrior,Priest+Warlock,5,team2,kill,56.20
LT,Shaman+Warrior,Priest+Warlock,6,team2,kill,167.20
LT,Shaman+Warrior,Priest+Warlock,7,team1,kill,38.73
LT,Shaman+Warrior,Priest+Warlock,8,team1,kill,39.12
LT,Shaman+Warrior,Priest+Warlock,9,team1,kill,39.08
LT,Shaman+Warrior,Priest+Warlock,10,team1,kill,39.38
LT,Shaman+Warrior,Priest+Warlock,11,team1,kill,38.22
LT,Shaman+Warrior,Priest+Warlock,12,team1,kill,46.52
LT,Shaman+Warrior,Priest+Warlock,13,team2,kill,58.40
LT,Shaman+Warrior,Priest+Warlock,14,team1,kill,39.57
LT,Shaman+Warrior,Priest+Warlock,15,team1,kill,42.42
LT,Shaman+Warrior,Priest+Warlock,16,team2,kill,96.12
LT,Shaman+Warrior,Priest+Warlock,17,team2,kill,65.18
LT,Shaman+Warrior,Priest+Warlock,18,team1,kill,46.67
LT,Shaman+Warrior,Priest+Warlock,19,team2,kill,61.50
LT,Shaman+Warrior,Priest+Warlock,20,team2,kill,65.80
LT,Shaman+Warrior,Priest+Warlock,21,team1,kill,39.82
LT,Shaman+Warrior,Priest+Warlock,22,team2,kill,73.27
LT,Shaman+Warrior,Priest+Warlock,23,team2,kill,65.08
LT,Shaman+Warrior,Priest+Warlock,24,team2,kill,173.70
