label,team1,team2,seed,winner,end_reason,duration_secs
LL,Warlock+Priest,Warrior+Priest,1,team1,kill,42.05
LL,Warlock+Priest,Warrior+Priest,2,team2,kill,50.20
LL,Warlock+Priest,Warrior+Priest,3,team1,kill,58.35
LL,Warlock+Priest,Warrior+Priest,4,team1,kill,38.40
LL,Warlock+Priest,Warrior+Priest,5,team2,kill,44.07
LL,Warlock+Priest,Warrior+Priest,6,team1,kill,47.85
LL,Warlock+Priest,Warrior+Priest,7,team2,kill,47.93
LL,Warlock+Priest,Warrior+Priest,8,team1,kill,33.43
LL,Warlock+Priest,Warrior+Priest,9,team1,kill,45.82
LL,Warlock+Priest,Warrior+Priest,10,team2,kill,45.17
LL,Warlock+Priest,Warrior+Priest,11,team2,kill,50.47
LL,Warlock+Priest,Warrior+Priest,12,team2,kill,43.72
LL,Warlock+Priest,Warrior+Priest,13,team2,kill,45.05
LL,Warlock+Priest,Warrior+Priest,14,team2,kill,49.50
LL,Warlock+Priest,Warrior+Priest,15,team2,kill,41.12
LL,Warlock+Priest,Warrior+Priest,16,team2,kill,44.45
LL,Warlock+Priest,Warrior+Priest,17,team2,kill,44.22
LL,Warlock+Priest,Warrior+Priest,18,team2,kill,44.67
LL,Warlock+Priest,Warrior+Priest,19,team2,kill,42.85
LL,Warlock+Priest,Warrior+Priest,20,team2,kill,44.37
LL,Warlock+Priest,Warrior+Priest,21,team2,kill,49.13
LL,Warlock+Priest,Warrior+Priest,22,team2,kill,46.65
LL,Warlock+Priest,Warrior+Priest,23,team2,kill,43.80
LL,Warlock+Priest,Warrior+Priest,24,team2,kill,42.65
LL,Warlock+Priest,Warrior+Priest,25,team2,kill,46.62
LL,Warlock+Priest,Warrior+Priest,26,team1,kill,53.92
LL,Warlock+Priest,Warrior+Priest,27,team1,kill,39.27
LL,Warlock+Priest,Warrior+Priest,28,team2,kill,46.83
LL,Warlock+Priest,Warrior+Priest,29,team2,kill,41.75
LL,Warlock+Priest,Warrior+Priest,30,team2,kill,49.68
LL,Warlock+Priest,Warrior+Priest,31,team2,kill,53.30
LL,Warlock+Priest,Warrior+Priest,32,team2,kill,42.78
LL,Warlock+Priest,Warrior+Priest,33,team2,kill,39.15
LL,Warlock+Priest,Warrior+Priest,34,team2,kill,43.60
LL,Warlock+Priest,Warrior+Priest,35,team2,kill,51.58
LL,Warlock+Priest,Warrior+Priest,36,team1,kill,53.98
LL,Warlock+Priest,Warrior+Priest,37,team2,kill,41.78
LL,Warlock+Priest,Warrior+Priest,38,team1,kill,35.67
LL,Warlock+Priest,Warrior+Priest,39,team1,kill,33.70
LL,Warlock+Priest,Warrior+Priest,40,team2,kill,54.75
LL,Warlock+Priest,Warrior+Priest,41,team2,kill,44.35
LL,Warlock+Priest,Warrior+Priest,42,team2,kill,45.27
LL,Warlock+Priest,Warrior+Priest,43,team2,kill,44.88
LL,Warlock+Priest,Warrior+Priest,44,team1,kill,60.07
LL,Warlock+Priest,Warrior+Priest,45,team2,kill,40.30
LL,Warlock+Priest,Warrior+Priest,46,team2,kill,45.97
LL,Warlock+Priest,Warrior+Priest,47,team2,kill,41.55
LL,Warlock+Priest,Warrior+Priest,48,team1,kill,46.78
LL,Warlock+Priest,Warrior+Priest,49,team2,kill,42.45
LL,Warlock+Priest,Warrior+Priest,50,team2,kill,45.55
LL,Warlock+Priest,Warrior+Priest,51,team2,kill,48.88
LL,Warlock+Priest,Warrior+Priest,52,team2,kill,43.02
LL,Warlock+Priest,Warrior+Priest,53,team1,kill,38.93
LL,Warlock+Priest,Warrior+Priest,54,team2,kill,43.30
LL,Warlock+Priest,Warrior+Priest,55,team2,kill,41.57
LL,Warlock+Priest,Warrior+Priest,56,team2,kill,48.73
LL,Warlock+Priest,Warrior+Priest,57,team1,kill,30.55
LL,Warlock+Priest,Warrior+Priest,58,team2,kill,43.42
LL,Warlock+Priest,Warrior+Priest,59,team2,kill,42.20
LL,Warlock+Priest,Warrior+Priest,60,team2,kill,45.20
LL,Warlock+Priest,Warrior+Priest,61,team2,kill,47.42
LL,Warlock+Priest,Warrior+Priest,62,team2,kill,33.98
LL,Warlock+Priest,Warrior+Priest,63,team2,kill,46.25
LL,Warlock+Priest,Warrior+Priest,64,team2,kill,45.35
LL,Warlock+Priest,Warrior+Priest,65,team1,kill,39.33
LL,Warlock+Priest,Warrior+Priest,66,team2,kill,49.57
LL,Warlock+Priest,Warrior+Priest,67,team2,kill,43.20
LL,Warlock+Priest,Warrior+Priest,68,team2,kill,42.35
LL,Warlock+Priest,Warrior+Priest,69,team2,kill,37.82
LL,Warlock+Priest,Warrior+Priest,70,team1,kill,38.07
LL,Warlock+Priest,Warrior+Priest,71,team2,kill,43.33
LL,Warlock+Priest,Warrior+Priest,72,team2,kill,49.92
LL,Warlock+Priest,Warrior+Priest,73,team2,kill,48.53
LL,Warlock+Priest,Warrior+Priest,74,team2,kill,42.68
LL,Warlock+Priest,Warrior+Priest,75,team2,kill,42.90
LL,Warlock+Priest,Warrior+Priest,76,team2,kill,52.05
LL,Warlock+Priest,Warrior+Priest,77,team2,kill,34.35
LL,Warlock+Priest,Warrior+Priest,78,team2,kill,42.33
LL,Warlock+Priest,Warrior+Priest,79,team2,kill,46.22
LL,Warlock+Priest,Warrior+Priest,80,team2,kill,49.60
LL,Warlock+Priest,Warrior+Priest,81,team2,kill,46.38
LL,Warlock+Priest,Warrior+Priest,82,team2,kill,47.62
LL,Warlock+Priest,Warrior+Priest,83,team2,kill,43.23
LL,Warlock+Priest,Warrior+Priest,84,team2,kill,42.50
LL,Warlock+Priest,Warrior+Priest,85,team2,kill,47.25
LL,Warlock+Priest,Warrior+Priest,86,team2,kill,42.82
LL,Warlock+Priest,Warrior+Priest,87,team2,kill,43.70
LL,Warlock+Priest,Warrior+Priest,88,team2,kill,42.63
LL,Warlock+Priest,Warrior+Priest,89,team2,kill,44.05
LL,Warlock+Priest,Warrior+Priest,90,team2,kill,45.32
LL,Warlock+Priest,Warrior+Priest,91,team1,kill,52.58
