team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate
Warrior+Mage,Warrior+Mage,100,52,48,0,0.5200,0.0000
Warrior+Mage,Warrior+Rogue,100,100,0,0,1.0000,0.0000
Warrior+Mage,Warrior+Priest,100,63,37,0,0.6300,0.0000
Warrior+Mage,Warrior+Warlock,100,89,11,0,0.8900,0.0000
Warrior+Mage,Warrior+Paladin,100,7,93,0,0.0700,0.0000
Warrior+Mage,Warrior+Hunter,100,92,8,0,0.9200,0.0000
Warrior+Mage,Mage+Rogue,100,91,9,0,0.9100,0.0000
Warrior+Mage,Mage+Priest,100,5,93,2,0.0500,0.0200
Warrior+Mage,Mage+Warlock,100,5,83,12,0.0500,0.1200
Warrior+Mage,Mage+Paladin,100,0,100,0,0.0000,0.0000
Warrior+Mage,Mage+Hunter,100,75,10,15,0.7500,0.1500
Warrior+Mage,Rogue+Priest,100,90,10,0,0.9000,0.0000
Warrior+Mage,Rogue+Warlock,100,72,28,0,0.7200,0.0000
Warrior+Mage,Rogue+Paladin,100,0,100,0,0.0000,0.0000
Warrior+Mage,Rogue+Hunter,100,100,0,0,1.0000,0.0000
Warrior+Mage,Priest+Warlock,100,96,4,0,0.9600,0.0000
Warrior+Mage,Priest+Paladin,100,73,27,0,0.7300,0.0000
Warrior+Mage,Priest+Hunter,100,100,0,0,1.0000,0.0000
Warrior+Mage,Warlock+Paladin,100,39,61,0,0.3900,0.0000
Warrior+Mage,Warlock+Hunter,100,97,3,0,0.9700,0.0000
Warrior+Mage,Paladin+Hunter,100,95,5,0,0.9500,0.0000
Warrior+Rogue,Warrior+Mage,100,0,100,0,0.0000,0.0000
Warrior+Rogue,Warrior+Rogue,100,42,42,16,0.4200,0.1600
Warrior+Rogue,Warrior+Priest,100,44,56,0,0.4400,0.0000
Warrior+Rogue,Warrior+Warlock,100,92,8,0,0.9200,0.0000
Warrior+Rogue,Warrior+Paladin,100,17,83,0,0.1700,0.0000
