label,team1,team2,seed,winner,end_reason,duration_secs
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,0,team1,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,1,team2,kill,26.47
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,2,draw,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,3,team2,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,4,team2,kill,24.82
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,5,team1,kill,26.67
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,6,draw,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,7,team2,kill,24.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,8,team1,kill,25.68
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,9,team1,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,10,team2,kill,24.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,11,team2,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,12,team1,kill,24.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,13,team2,kill,25.65
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,14,draw,kill,26.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,15,draw,kill,24.80
Warrior+Mage+Rogue_vs_Warrior+Mage+Rogue,Warrior+Mage+Rogue,Warrior+Mage+Rogue,16,team2,kill,26.17
