# Matrix run: n=100 seed_base=0
team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate,avg_duration_secs
Warrior,Warrior,100,51,43,6,0.5100,0.0600,16.78
Warrior,Mage,100,0,100,0,0.0000,0.0000,15.72
Warrior,Rogue,100,5,95,0,0.0500,0.0000,16.90
Warrior,Priest,100,90,10,0,0.9000,0.0000,36.33
Warrior,Warlock,100,65,35,0,0.6500,0.0000,24.61
Warrior,Paladin,100,13,87,0,0.1300,0.0000,55.27
Warrior,Hunter,100,71,29,0,0.7100,0.0000,38.15
Mage,Warrior,100,100,0,0,1.0000,0.0000,15.78
Mage,Mage,100,19,17,64,0.1900,0.6400,9.79
Mage,Rogue,100,65,35,0,0.6500,0.0000,18.21
Mage,Priest,100,100,0,0,1.0000,0.0000,19.96
Mage,Warlock,100,100,0,0,1.0000,0.0000,13.03
Mage,Paladin,100,100,0,0,1.0000,0.0000,39.36
Mage,Hunter,100,100,0,0,1.0000,0.0000,9.53
Rogue,Warrior,100,96,4,0,0.9600,0.0000,16.99
Rogue,Mage,100,43,57,0,0.4300,0.0000,18.60
Rogue,Rogue,100,13,87,0,0.1300,0.0000,99.68
Rogue,Priest,100,40,60,0,0.4000,0.0000,34.08
Rogue,Warlock,100,100,0,0,1.0000,0.0000,12.91
Rogue,Paladin,100,0,100,0,0.0000,0.0000,41.01
Rogue,Hunter,100,99,1,0,0.9900,0.0000,24.43
Priest,Warrior,100,19,81,0,0.1900,0.0000,37.25
Priest,Mage,100,0,100,0,0.0000,0.0000,20.79
Priest,Rogue,100,44,56,0,0.4400,0.0000,31.76
Priest,Priest,100,0,0,100,0.0000,1.0000,300.00
Priest,Warlock,100,0,100,0,0.0000,0.0000,28.01
Priest,Paladin,100,39,25,36,0.3900,0.3600,257.82
Priest,Hunter,100,100,0,0,1.0000,0.0000,34.14
Warlock,Warrior,100,29,71,0,0.2900,0.0000,24.47
Warlock,Mage,100,0,100,0,0.0000,0.0000,12.96
Warlock,Rogue,100,0,100,0,0.0000,0.0000,12.92
Warlock,Priest,100,100,0,0,1.0000,0.0000,27.34
Warlock,Warlock,100,43,45,12,0.4300,0.1200,22.83
Warlock,Paladin,100,26,74,0,0.2600,0.0000,51.28
Warlock,Hunter,100,92,8,0,0.9200,0.0000,17.54
Paladin,Warrior,100,82,18,0,0.8200,0.0000,56.28
Paladin,Mage,100,0,100,0,0.0000,0.0000,39.23
Paladin,Rogue,100,100,0,0,1.0000,0.0000,41.18
Paladin,Priest,100,19,49,32,0.1900,0.3200,252.41
Paladin,Warlock,100,84,16,0,0.8400,0.0000,50.21
Paladin,Paladin,100,52,33,15,0.5200,0.1500,290.49
Paladin,Hunter,100,100,0,0,1.0000,0.0000,51.17
Hunter,Warrior,100,25,75,0,0.2500,0.0000,38.68
Hunter,Mage,100,0,100,0,0.0000,0.0000,9.53
Hunter,Rogue,100,3,97,0,0.0300,0.0000,24.02
Hunter,Priest,100,0,100,0,0.0000,0.0000,34.11
Hunter,Warlock,100,7,93,0,0.0700,0.0000,17.43
Hunter,Paladin,100,0,100,0,0.0000,0.0000,51.16
Hunter,Hunter,100,43,28,29,0.4300,0.2900,17.58
