# Matrix run: n=20 seed_base=0
team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate,avg_duration_secs
Warrior,Warrior,20,10,10,0,0.5000,0.0000,16.80
Warrior,Mage,20,0,20,0,0.0000,0.0000,14.26
Warrior,Rogue,20,1,19,0,0.0500,0.0000,17.42
Warrior,Priest,20,19,1,0,0.9500,0.0000,22.02
Warrior,Warlock,20,16,4,0,0.8000,0.0000,20.78
Warrior,Paladin,20,9,11,0,0.4500,0.0000,56.45
Warrior,Hunter,20,15,5,0,0.7500,0.0000,37.90
Mage,Warrior,20,20,0,0,1.0000,0.0000,14.13
Mage,Mage,20,5,4,11,0.2500,0.5500,9.76
Mage,Rogue,20,3,17,0,0.1500,0.0000,18.06
Mage,Priest,20,20,0,0,1.0000,0.0000,20.29
Mage,Warlock,20,20,0,0,1.0000,0.0000,13.90
Mage,Paladin,20,20,0,0,1.0000,0.0000,41.89
Mage,Hunter,20,20,0,0,1.0000,0.0000,10.60
Rogue,Warrior,20,20,0,0,1.0000,0.0000,17.30
Rogue,Mage,20,17,3,0,0.8500,0.0000,18.77
Rogue,Rogue,20,4,16,0,0.2000,0.0000,99.79
Rogue,Priest,20,20,0,0,1.0000,0.0000,20.55
Rogue,Warlock,20,20,0,0,1.0000,0.0000,12.84
Rogue,Paladin,20,0,20,0,0.0000,0.0000,43.12
Rogue,Hunter,20,19,1,0,0.9500,0.0000,23.89
Priest,Warrior,20,0,20,0,0.0000,0.0000,22.46
Priest,Mage,20,0,20,0,0.0000,0.0000,19.53
Priest,Rogue,20,0,20,0,0.0000,0.0000,20.28
Priest,Priest,20,14,6,0,0.7000,0.0000,89.49
Priest,Warlock,20,0,20,0,0.0000,0.0000,38.10
Priest,Paladin,20,0,20,0,0.0000,0.0000,80.47
Priest,Hunter,20,20,0,0,1.0000,0.0000,35.55
Warlock,Warrior,20,9,11,0,0.4500,0.0000,22.49
Warlock,Mage,20,0,20,0,0.0000,0.0000,13.90
Warlock,Rogue,20,0,20,0,0.0000,0.0000,12.87
Warlock,Priest,20,20,0,0,1.0000,0.0000,38.81
Warlock,Warlock,20,12,6,2,0.6000,0.1000,25.11
Warlock,Paladin,20,0,20,0,0.0000,0.0000,50.37
Warlock,Hunter,20,20,0,0,1.0000,0.0000,18.91
Paladin,Warrior,20,14,6,0,0.7000,0.0000,55.31
Paladin,Mage,20,0,20,0,0.0000,0.0000,41.14
Paladin,Rogue,20,20,0,0,1.0000,0.0000,41.53
Paladin,Priest,20,20,0,0,1.0000,0.0000,81.06
Paladin,Warlock,20,20,0,0,1.0000,0.0000,48.70
Paladin,Paladin,20,17,3,0,0.8500,0.0000,206.02
Paladin,Hunter,20,19,0,1,0.9500,0.0500,64.61
Hunter,Warrior,20,4,16,0,0.2000,0.0000,39.62
Hunter,Mage,20,0,20,0,0.0000,0.0000,10.23
Hunter,Rogue,20,1,19,0,0.0500,0.0000,24.20
Hunter,Priest,20,0,20,0,0.0000,0.0000,36.66
Hunter,Warlock,20,1,19,0,0.0500,0.0000,19.23
Hunter,Paladin,20,1,18,1,0.0500,0.0500,77.11
Hunter,Hunter,20,4,6,10,0.2000,0.5000,17.93
