# Matrix run: n=100 seed_base=0
team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate,avg_duration_secs
Warrior,Warrior,100,51,43,6,0.5100,0.0600,16.78
Warrior,Mage,100,0,100,0,0.0000,0.0000,14.48
Warrior,Rogue,100,5,95,0,0.0500,0.0000,16.90
Warrior,Priest,100,99,1,0,0.9900,0.0000,21.73
Warrior,Warlock,100,70,30,0,0.7000,0.0000,21.32
Warrior,Paladin,100,51,49,0,0.5100,0.0000,56.65
Warrior,Hunter,100,71,29,0,0.7100,0.0000,38.15
Mage,Warrior,100,100,0,0,1.0000,0.0000,14.12
Mage,Mage,100,19,17,64,0.1900,0.6400,9.79
Mage,Rogue,100,15,85,0,0.1500,0.0000,18.43
Mage,Priest,100,100,0,0,1.0000,0.0000,19.24
Mage,Warlock,100,100,0,0,1.0000,0.0000,13.96
Mage,Paladin,100,100,0,0,1.0000,0.0000,41.39
Mage,Hunter,100,100,0,0,1.0000,0.0000,10.38
Rogue,Warrior,100,96,4,0,0.9600,0.0000,16.99
Rogue,Mage,100,88,12,0,0.8800,0.0000,18.93
Rogue,Rogue,100,13,87,0,0.1300,0.0000,99.68
Rogue,Priest,100,100,0,0,1.0000,0.0000,19.74
Rogue,Warlock,100,100,0,0,1.0000,0.0000,12.91
Rogue,Paladin,100,0,100,0,0.0000,0.0000,43.68
Rogue,Hunter,100,99,1,0,0.9900,0.0000,24.43
Priest,Warrior,100,0,100,0,0.0000,0.0000,21.22
Priest,Mage,100,0,100,0,0.0000,0.0000,20.68
Priest,Rogue,100,0,100,0,0.0000,0.0000,18.56
Priest,Priest,100,61,39,0,0.6100,0.0000,90.15
Priest,Warlock,100,1,99,0,0.0100,0.0000,39.90
Priest,Paladin,100,0,100,0,0.0000,0.0000,82.84
Priest,Hunter,100,100,0,0,1.0000,0.0000,34.90
Warlock,Warrior,100,35,65,0,0.3500,0.0000,21.73
Warlock,Mage,100,0,100,0,0.0000,0.0000,13.98
Warlock,Rogue,100,0,100,0,0.0000,0.0000,12.92
Warlock,Priest,100,100,0,0,1.0000,0.0000,35.86
Warlock,Warlock,100,45,42,13,0.4500,0.1300,25.63
Warlock,Paladin,100,5,95,0,0.0500,0.0000,50.03
Warlock,Hunter,100,99,1,0,0.9900,0.0000,19.18
Paladin,Warrior,100,50,50,0,0.5000,0.0000,57.19
Paladin,Mage,100,0,100,0,0.0000,0.0000,41.13
Paladin,Rogue,100,100,0,0,1.0000,0.0000,44.50
Paladin,Priest,100,100,0,0,1.0000,0.0000,81.44
Paladin,Warlock,100,100,0,0,1.0000,0.0000,48.68
Paladin,Paladin,100,73,27,0,0.7300,0.0000,207.50
Paladin,Hunter,100,100,0,0,1.0000,0.0000,53.10
Hunter,Warrior,100,25,75,0,0.2500,0.0000,38.68
Hunter,Mage,100,0,100,0,0.0000,0.0000,10.54
Hunter,Rogue,100,3,97,0,0.0300,0.0000,24.02
Hunter,Priest,100,0,100,0,0.0000,0.0000,35.09
Hunter,Warlock,100,4,96,0,0.0400,0.0000,19.07
Hunter,Paladin,100,1,99,0,0.0100,0.0000,54.62
Hunter,Hunter,100,43,28,29,0.4300,0.2900,17.58
