label,team1,team2,seed,winner,end_reason,duration_secs
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,0,team1,kill,23.40
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,1,team2,kill,25.33
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,2,team2,kill,27.38
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,3,team2,kill,27.63
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,4,team2,kill,26.88
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,5,team2,kill,25.87
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,6,team2,kill,27.23
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,7,team1,kill,24.87
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,8,team2,kill,25.33
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,9,team2,kill,26.85
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,10,team1,kill,26.10
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,11,team2,kill,26.50
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,12,team2,kill,26.85
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,13,team2,kill,25.33
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,14,team1,kill,23.40
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,15,team1,kill,20.15
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,16,team2,kill,27.07
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,17,team1,kill,24.27
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,18,team2,kill,27.38
Rogue+Warrior_vs_Warrior+Mage,Rogue+Warrior,Warrior+Mage,19,team1,kill,27.33
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,0,team2,kill,18.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,1,team1,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,2,team1,kill,18.13
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,3,team1,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,4,team1,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,5,team1,kill,19.47
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,6,team2,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,7,team2,kill,18.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,8,team1,kill,21.47
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,9,team1,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,10,draw,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,11,team1,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,12,team1,kill,19.07
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,13,team1,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,14,team1,kill,18.80
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,15,team2,kill,20.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,16,team1,kill,20.13
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,17,team1,kill,20.80
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,18,draw,kill,22.50
Rogue+Warrior_vs_Warrior+Rogue,Rogue+Warrior,Warrior+Rogue,19,team1,kill,21.47
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,0,team1,kill,25.40
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,1,team1,kill,25.40
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,2,team1,kill,22.15
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,3,team1,kill,27.40
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,4,team1,kill,20.03
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,5,team1,kill,21.08
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,6,team1,kill,22.15
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,7,team1,kill,19.40
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,8,team1,kill,25.40
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,9,team1,kill,23.40
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,10,team1,kill,24.15
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,11,team1,kill,23.78
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,12,team1,kill,22.15
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,13,team1,kill,21.67
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,14,team1,kill,22.15
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,15,team1,kill,22.15
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,16,team1,kill,25.52
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,17,team1,kill,23.90
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,18,team1,kill,21.78
Rogue+Warrior_vs_Warrior+Priest,Rogue+Warrior,Warrior+Priest,19,team1,kill,23.40
