label,team1,team2,seed,winner,end_reason,duration_secs
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90000,team1,kill,44.68
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90001,team2,kill,64.10
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90002,team1,kill,41.78
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90003,team2,kill,43.87
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90004,team2,kill,43.87
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90005,team2,kill,102.62
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90006,team2,kill,51.53
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90007,team2,kill,122.36
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90008,team2,kill,103.82
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90009,team2,kill,84.37
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90010,team1,kill,35.95
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90011,team2,kill,37.80
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90012,team1,kill,37.80
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90013,team2,kill,143.96
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90014,team1,kill,36.30
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90015,team2,kill,69.40
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90016,team1,kill,45.38
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90017,team2,kill,104.81
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90018,team2,kill,59.03
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90019,team2,kill,103.41
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90020,team2,kill,38.63
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90021,team2,kill,41.43
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90022,team2,kill,44.77
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90023,team2,kill,87.90
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90024,team1,kill,38.07
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90025,team2,kill,129.20
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90026,team2,kill,96.24
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90027,team2,kill,43.87
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90028,team2,kill,37.22
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90029,team1,kill,39.43
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90030,team2,kill,45.97
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90031,team2,kill,39.52
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90032,team2,kill,48.17
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90033,team2,kill,31.73
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90034,team2,kill,75.08
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90035,team2,kill,76.97
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90036,team1,kill,48.82
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90037,team1,kill,43.12
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90038,team2,kill,42.65
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90039,team2,kill,129.48
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91000,team2,kill,56.87
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91001,team2,kill,63.25
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91002,team2,kill,55.97
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91003,team2,kill,36.80
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91004,team2,kill,26.17
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91005,team2,kill,78.32
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91006,team2,kill,47.95
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91007,team2,kill,34.77
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91008,team2,kill,35.63
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91009,team1,kill,26.83
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91010,team2,kill,31.15
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91011,team2,kill,69.53
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91012,team2,kill,60.93
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91013,team2,kill,35.20
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91014,team2,kill,39.53
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91015,team2,kill,33.42
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91016,team2,kill,33.90
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91017,team2,kill,35.87
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91018,team2,kill,47.85
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91019,team2,kill,72.40
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91020,team2,kill,35.07
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91021,team2,kill,37.87
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91022,team1,kill,21.65
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91023,team2,kill,59.20
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91024,team2,kill,31.52
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91025,team2,kill,26.73
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91026,team2,kill,55.10
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91027,team2,kill,52.35
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91028,team2,kill,56.83
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91029,team2,kill,33.52
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91030,team2,kill,27.10
clean/Mage+Shaman_vs_Mage+Priest,Mage+Shaman,Mage+Priest,91031,team2,kill,56.87
