label,team1,team2,seed,winner,end_reason,duration_secs
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90000,team2,kill,43.87
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90001,team1,kill,34.65
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90002,team1,kill,43.03
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90003,team2,kill,168.14
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90004,team2,kill,174.13
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90005,team1,kill,145.33
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90006,team1,kill,38.90
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90007,team1,kill,34.22
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90008,team2,kill,43.87
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90009,draw,kill,169.17
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90010,team1,kill,37.55
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90011,team2,kill,61.18
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90012,team1,kill,43.58
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90013,team1,kill,31.95
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90014,team1,kill,66.82
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90015,team2,kill,132.75
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90016,team2,kill,40.97
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90017,team1,kill,35.57
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90018,team1,kill,147.14
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90019,team2,kill,166.42
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90020,team1,kill,40.00
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90021,team1,kill,161.74
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90022,team2,kill,63.47
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90023,team1,kill,37.42
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90024,team1,kill,160.67
clean/Warrior+Shaman_vs_Warrior+Priest,Warrior+Shaman,Warrior+Priest,90025,team2,kill,167.44
