label,team1,team2,seed,winner,end_reason,duration_secs
curse:Warlock_vs_Priest,Warlock,Priest,7000,team1,kill,26.10
curse:Warlock_vs_Priest,Warlock,Priest,7001,team1,kill,27.37
curse:Warlock_vs_Priest,Warlock,Priest,7002,team1,kill,26.05
curse:Warlock_vs_Priest,Warlock,Priest,7003,team1,kill,27.15
curse:Warlock_vs_Priest,Warlock,Priest,7004,team1,kill,29.65
curse:Warlock_vs_Priest,Warlock,Priest,7005,team1,kill,55.12
curse:Warlock_vs_Priest,Warlock,Priest,7006,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7007,team1,kill,52.57
curse:Warlock_vs_Priest,Warlock,Priest,7008,team1,kill,26.12
curse:Warlock_vs_Priest,Warlock,Priest,7009,team1,kill,26.60
curse:Warlock_vs_Priest,Warlock,Priest,7010,team1,kill,29.03
curse:Warlock_vs_Priest,Warlock,Priest,7011,team1,kill,28.78
curse:Warlock_vs_Priest,Warlock,Priest,7012,team1,kill,31.33
curse:Warlock_vs_Priest,Warlock,Priest,7013,team1,kill,28.07
curse:Warlock_vs_Priest,Warlock,Priest,7014,team1,kill,25.93
curse:Warlock_vs_Priest,Warlock,Priest,7015,team1,kill,59.37
curse:Warlock_vs_Priest,Warlock,Priest,7016,team1,kill,29.08
curse:Warlock_vs_Priest,Warlock,Priest,7017,team1,kill,28.17
curse:Warlock_vs_Priest,Warlock,Priest,7018,team1,kill,27.30
curse:Warlock_vs_Priest,Warlock,Priest,7019,team1,kill,28.85
curse:Warlock_vs_Priest,Warlock,Priest,7020,team2,kill,70.55
curse:Warlock_vs_Priest,Warlock,Priest,7021,team1,kill,25.63
curse:Warlock_vs_Priest,Warlock,Priest,7022,team1,kill,28.17
curse:Warlock_vs_Priest,Warlock,Priest,7023,team1,kill,28.20
curse:Warlock_vs_Priest,Warlock,Priest,7024,team1,kill,26.88
curse:Warlock_vs_Priest,Warlock,Priest,7025,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7026,team1,kill,26.20
curse:Warlock_vs_Priest,Warlock,Priest,7027,team1,kill,25.97
curse:Warlock_vs_Priest,Warlock,Priest,7028,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7029,team1,kill,29.02
curse:Warlock_vs_Priest,Warlock,Priest,7030,team1,kill,27.40
curse:Warlock_vs_Priest,Warlock,Priest,7031,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7032,team1,kill,25.98
curse:Warlock_vs_Priest,Warlock,Priest,7033,team2,kill,70.78
curse:Warlock_vs_Priest,Warlock,Priest,7034,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7035,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7036,team1,kill,26.03
curse:Warlock_vs_Priest,Warlock,Priest,7037,team1,kill,26.12
curse:Warlock_vs_Priest,Warlock,Priest,7038,team1,kill,22.67
curse:Warlock_vs_Priest,Warlock,Priest,7039,team1,kill,27.95
curse:Warlock_vs_Priest,Warlock,Priest,7040,team1,kill,27.22
curse:Warlock_vs_Priest,Warlock,Priest,7041,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7042,team2,kill,67.75
curse:Warlock_vs_Priest,Warlock,Priest,7043,team1,kill,26.73
curse:Warlock_vs_Priest,Warlock,Priest,7044,team1,kill,29.03
curse:Warlock_vs_Priest,Warlock,Priest,7045,team1,kill,25.90
curse:Warlock_vs_Priest,Warlock,Priest,7046,team1,kill,31.67
curse:Warlock_vs_Priest,Warlock,Priest,7047,team1,kill,28.77
curse:Warlock_vs_Priest,Warlock,Priest,7048,team1,kill,28.18
curse:Warlock_vs_Priest,Warlock,Priest,7049,team1,kill,27.35
curse:Warlock_vs_Priest,Warlock,Priest,7050,team1,kill,27.28
curse:Warlock_vs_Priest,Warlock,Priest,7051,team1,kill,28.10
curse:Warlock_vs_Priest,Warlock,Priest,7052,team1,kill,28.08
curse:Warlock_vs_Priest,Warlock,Priest,7053,team1,kill,25.85
curse:Warlock_vs_Priest,Warlock,Priest,7054,team1,kill,56.82
curse:Warlock_vs_Priest,Warlock,Priest,7055,team1,kill,26.97
curse:Warlock_vs_Priest,Warlock,Priest,7056,team1,kill,26.17
curse:Warlock_vs_Priest,Warlock,Priest,7057,team1,kill,25.85
curse:Warlock_vs_Priest,Warlock,Priest,7058,team1,kill,25.42
curse:Warlock_vs_Priest,Warlock,Priest,7059,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7060,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7061,team1,kill,26.02
curse:Warlock_vs_Priest,Warlock,Priest,7062,team1,kill,28.15
curse:Warlock_vs_Priest,Warlock,Priest,7063,team1,kill,29.17
curse:Warlock_vs_Priest,Warlock,Priest,7064,team1,kill,25.88
curse:Warlock_vs_Priest,Warlock,Priest,7065,team1,kill,25.63
curse:Warlock_vs_Priest,Warlock,Priest,7066,team1,kill,27.12
curse:Warlock_vs_Priest,Warlock,Priest,7067,team1,kill,28.08
curse:Warlock_vs_Priest,Warlock,Priest,7068,team1,kill,31.08
curse:Warlock_vs_Priest,Warlock,Priest,7069,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7070,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7071,team1,kill,28.15
curse:Warlock_vs_Priest,Warlock,Priest,7072,team1,kill,25.98
curse:Warlock_vs_Priest,Warlock,Priest,7073,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7074,team1,kill,28.92
curse:Warlock_vs_Priest,Warlock,Priest,7075,team1,kill,27.22
curse:Warlock_vs_Priest,Warlock,Priest,7076,team1,kill,29.12
curse:Warlock_vs_Priest,Warlock,Priest,7077,team1,kill,27.32
curse:Warlock_vs_Priest,Warlock,Priest,7078,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7079,team1,kill,26.83
curse:Warlock_vs_Priest,Warlock,Priest,7080,team1,kill,27.00
curse:Warlock_vs_Priest,Warlock,Priest,7081,team1,kill,26.02
curse:Warlock_vs_Priest,Warlock,Priest,7082,team1,kill,26.18
curse:Warlock_vs_Priest,Warlock,Priest,7083,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7084,team1,kill,28.85
curse:Warlock_vs_Priest,Warlock,Priest,7085,team1,kill,26.10
curse:Warlock_vs_Priest,Warlock,Priest,7086,team1,kill,27.18
curse:Warlock_vs_Priest,Warlock,Priest,7087,team1,kill,25.85
curse:Warlock_vs_Priest,Warlock,Priest,7088,team1,kill,56.37
curse:Warlock_vs_Priest,Warlock,Priest,7089,team1,kill,26.92
curse:Warlock_vs_Priest,Warlock,Priest,7090,team1,kill,25.13
curse:Warlock_vs_Priest,Warlock,Priest,7091,team1,kill,26.18
curse:Warlock_vs_Priest,Warlock,Priest,7092,team1,kill,27.15
curse:Warlock_vs_Priest,Warlock,Priest,7093,team1,kill,26.17
curse:Warlock_vs_Priest,Warlock,Priest,7094,team1,kill,43.08
curse:Warlock_vs_Priest,Warlock,Priest,7095,team1,kill,26.18
curse:Warlock_vs_Priest,Warlock,Priest,7096,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7097,team1,kill,20.30
curse:Warlock_vs_Priest,Warlock,Priest,7098,team1,kill,28.18
curse:Warlock_vs_Priest,Warlock,Priest,7099,team1,kill,26.37
curse:Warlock_vs_Priest,Warlock,Priest,7100,team1,kill,29.10
curse:Warlock_vs_Priest,Warlock,Priest,7101,team1,kill,26.93
curse:Warlock_vs_Priest,Warlock,Priest,7102,team1,kill,26.28
curse:Warlock_vs_Priest,Warlock,Priest,7103,team1,kill,26.10
curse:Warlock_vs_Priest,Warlock,Priest,7104,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7105,team1,kill,27.95
curse:Warlock_vs_Priest,Warlock,Priest,7106,team1,kill,28.27
curse:Warlock_vs_Priest,Warlock,Priest,7107,team1,kill,26.17
curse:Warlock_vs_Priest,Warlock,Priest,7108,team1,kill,29.13
curse:Warlock_vs_Priest,Warlock,Priest,7109,team1,kill,25.60
curse:Warlock_vs_Priest,Warlock,Priest,7110,team1,kill,29.02
curse:Warlock_vs_Priest,Warlock,Priest,7111,team1,kill,31.57
curse:Warlock_vs_Priest,Warlock,Priest,7112,team1,kill,29.10
curse:Warlock_vs_Priest,Warlock,Priest,7113,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7114,team1,kill,27.13
curse:Warlock_vs_Priest,Warlock,Priest,7115,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7116,team1,kill,26.65
curse:Warlock_vs_Priest,Warlock,Priest,7117,team1,kill,27.07
curse:Warlock_vs_Priest,Warlock,Priest,7118,team1,kill,26.18
curse:Warlock_vs_Priest,Warlock,Priest,7119,team1,kill,26.22
curse:Warlock_vs_Priest,Warlock,Priest,7120,team1,kill,27.15
curse:Warlock_vs_Priest,Warlock,Priest,7121,team1,kill,27.22
curse:Warlock_vs_Priest,Warlock,Priest,7122,team1,kill,26.20
curse:Warlock_vs_Priest,Warlock,Priest,7123,team1,kill,31.45
curse:Warlock_vs_Priest,Warlock,Priest,7124,team1,kill,22.53
curse:Warlock_vs_Priest,Warlock,Priest,7125,team1,kill,67.87
curse:Warlock_vs_Priest,Warlock,Priest,7126,team1,kill,26.28
curse:Warlock_vs_Priest,Warlock,Priest,7127,team1,kill,28.05
curse:Warlock_vs_Priest,Warlock,Priest,7128,team1,kill,26.18
curse:Warlock_vs_Priest,Warlock,Priest,7129,team1,kill,27.13
curse:Warlock_vs_Priest,Warlock,Priest,7130,team1,kill,27.02
curse:Warlock_vs_Priest,Warlock,Priest,7131,team1,kill,26.85
curse:Warlock_vs_Priest,Warlock,Priest,7132,team1,kill,25.65
curse:Warlock_vs_Priest,Warlock,Priest,7133,team1,kill,29.15
curse:Warlock_vs_Priest,Warlock,Priest,7134,team1,kill,27.23
curse:Warlock_vs_Priest,Warlock,Priest,7135,team1,kill,25.63
