label,team1,team2,seed,winner,end_reason,duration_secs
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,0,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,1,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,2,team1,kill,112.74
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,3,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,4,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,5,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,6,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,7,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,8,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,9,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,10,team1,kill,112.74
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,11,team2,kill,110.33
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,12,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,13,team2,kill,112.33
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,14,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,15,team1,kill,112.74
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,16,team2,kill,111.66
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,17,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,18,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,19,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,20,team2,kill,110.99
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,21,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,22,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,23,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,24,team1,kill,112.31
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,25,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,26,team2,kill,109.76
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,27,team1,kill,100.77
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,28,team2,kill,110.99
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,29,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,30,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,31,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,32,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,33,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,34,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,35,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,36,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,37,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,38,team1,kill,111.23
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,39,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,40,team2,kill,111.28
diag1v1:Rogue_vs_Rogue,Rogue,Rogue,41,team1,kill,111.23
