label,team1,team2,seed,winner,end_reason,duration_secs
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,0,draw,kill,27.10
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,1,team2,kill,25.65
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,2,draw,kill,27.17
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,3,draw,kill,27.10
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,4,team2,kill,19.52
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,5,team2,kill,25.58
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,6,team2,kill,25.65
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,7,team2,kill,25.58
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,8,team2,kill,25.58
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,9,team2,kill,25.65
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,10,draw,kill,27.17
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,11,draw,kill,27.17
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,12,team1,kill,25.58
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,13,team1,kill,25.65
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,14,team1,kill,25.65
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,15,team2,kill,22.87
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,16,draw,kill,26.35
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,17,team2,kill,19.92
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,18,team2,kill,25.65
Mage+Warrior_vs_Warrior+Mage,Mage+Warrior,Warrior+Mage,19,team2,kill,22.87
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,0,team1,kill,21.13
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,1,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,2,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,3,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,4,team2,kill,25.53
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,5,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,6,team1,kill,18.05
Mage+Warrior_vs_Warrior+Rogue,Mage+Warrior,Warrior+Rogue,7,team1,kill,20.95
