label,team1,team2,seed,winner,end_reason,duration_secs
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,0,team1,kill,47.85
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,1,team1,kill,52.90
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,2,team1,kill,34.25
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,3,team1,kill,34.13
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,4,team1,kill,36.72
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,5,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,6,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,7,team1,kill,34.13
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,8,team1,kill,34.13
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,9,team2,kill,42.88
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,10,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,11,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,12,team2,kill,60.97
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,13,team1,kill,28.22
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,14,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,15,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,16,team1,kill,53.20
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,17,team1,kill,34.25
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,18,team1,kill,31.93
Paladin+Warrior_vs_Warrior+Mage#pal2v2,Paladin+Warrior,Warrior+Mage,19,team1,kill,33.62
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,0,team2,kill,61.72
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,1,team1,kill,45.30
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,2,team1,kill,49.92
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,3,team2,kill,65.73
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,4,team2,kill,46.68
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,5,team2,kill,59.98
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,6,team2,kill,45.17
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,7,team2,kill,45.17
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,8,team1,kill,45.12
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,9,team2,kill,47.17
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,10,team1,kill,34.77
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,11,team1,kill,49.50
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,12,team2,kill,46.83
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,13,team1,kill,47.42
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,14,team1,kill,45.45
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,15,team1,kill,35.92
Paladin+Warrior_vs_Warrior+Rogue#pal2v2,Paladin+Warrior,Warrior+Rogue,16,team2,kill,42.67
