label,team1,team2,seed,winner,end_reason,duration_secs
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,0,team2,kill,65.17
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,1,team2,kill,28.33
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,2,team2,kill,35.47
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,3,team2,kill,36.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,4,team2,kill,44.43
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,5,team2,kill,61.57
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,6,team2,kill,35.50
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,7,team2,kill,40.43
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,8,team2,kill,35.07
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,9,team2,kill,36.50
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,10,team2,kill,40.62
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,11,team2,kill,39.12
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,12,team2,kill,34.57
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,13,team2,kill,39.37
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,14,team2,kill,36.30
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,15,team2,kill,43.20
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,16,team2,kill,28.12
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,17,team2,kill,34.92
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,18,team2,kill,41.45
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,19,team2,kill,36.53
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,20,team2,kill,38.98
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,21,team2,kill,39.60
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,22,team2,kill,35.55
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,23,team2,kill,40.50
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,24,team1,kill,48.47
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,25,team2,kill,34.48
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,26,team2,kill,47.38
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,27,team2,kill,64.10
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,28,team2,kill,43.42
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,29,team2,kill,35.50
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,30,team2,kill,29.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,31,team2,kill,40.60
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,32,team2,kill,38.20
