label,team1,team2,seed,winner,end_reason,duration_secs
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,0,draw,kill,27.10
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,1,team2,kill,25.65
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,2,draw,kill,27.17
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,3,draw,kill,27.10
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,4,team2,kill,19.52
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,5,team2,kill,25.58
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,0,team1,kill,21.00
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,1,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,2,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,3,team1,kill,20.95
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,4,team2,kill,25.53
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,5,team1,kill,20.95
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,0,team1,kill,22.97
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,1,team1,kill,25.13
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,2,team1,kill,25.20
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,3,team1,kill,26.32
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,4,team1,kill,30.05
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,5,team1,kill,24.10
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,0,team1,kill,25.38
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,1,team1,kill,26.90
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,2,team1,kill,26.90
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,3,team1,kill,20.48
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,4,team1,kill,18.72
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,5,team1,kill,26.90
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,0,team2,kill,39.88
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,1,team2,kill,56.07
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,2,team1,kill,35.67
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,3,team2,kill,58.20
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,4,team2,kill,30.82
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,5,team2,kill,41.03
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,0,team1,kill,25.47
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,1,team1,kill,24.20
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,2,team1,kill,23.95
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,3,team1,kill,25.63
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,4,team1,kill,25.63
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,5,team1,kill,24.23
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,0,team2,kill,42.18
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,1,team2,kill,22.87
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,2,team2,kill,22.87
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,3,team1,kill,38.02
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,4,team2,kill,23.03
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,5,team2,kill,24.52
