label,team1,team2,seed,winner,end_reason,duration_secs
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,0,draw,kill,27.17
Mage+Warrior_vs_Warrior+Mage#as87Mage,Mage+Warrior,Warrior+Mage,1,draw,kill,27.17
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,0,team1,kill,21.00
Mage+Warrior_vs_Warrior+Rogue#as87Mage,Mage+Warrior,Warrior+Rogue,1,team2,kill,24.08
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,0,team1,kill,25.70
Mage+Warrior_vs_Warrior+Priest#as87Mage,Mage+Warrior,Warrior+Priest,1,team1,kill,26.32
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,0,team1,kill,26.90
Mage+Warrior_vs_Warrior+Warlock#as87Mage,Mage+Warrior,Warrior+Warlock,1,team1,kill,26.90
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,0,team2,kill,41.85
Mage+Warrior_vs_Warrior+Paladin#as87Mage,Mage+Warrior,Warrior+Paladin,1,team2,kill,42.62
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,0,team1,kill,25.63
Mage+Warrior_vs_Warrior+Hunter#as87Mage,Mage+Warrior,Warrior+Hunter,1,team1,kill,24.23
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,0,team2,kill,22.07
Mage+Warrior_vs_Warrior+Shaman#as87Mage,Mage+Warrior,Warrior+Shaman,1,team2,kill,22.07
Mage+Warrior_vs_Mage+Rogue#as87Mage,Mage+Warrior,Mage+Rogue,0,team1,kill,16.50
Mage+Warrior_vs_Mage+Rogue#as87Mage,Mage+Warrior,Mage+Rogue,1,team1,kill,16.50
Mage+Warrior_vs_Mage+Priest#as87Mage,Mage+Warrior,Mage+Priest,0,team2,kill,19.03
Mage+Warrior_vs_Mage+Priest#as87Mage,Mage+Warrior,Mage+Priest,1,team2,kill,20.58
Mage+Warrior_vs_Mage+Warlock#as87Mage,Mage+Warrior,Mage+Warlock,0,team2,kill,14.22
Mage+Warrior_vs_Mage+Warlock#as87Mage,Mage+Warrior,Mage+Warlock,1,team2,kill,15.43
Mage+Warrior_vs_Mage+Paladin#as87Mage,Mage+Warrior,Mage+Paladin,0,team2,kill,23.58
Mage+Warrior_vs_Mage+Paladin#as87Mage,Mage+Warrior,Mage+Paladin,1,team2,kill,28.15
Mage+Warrior_vs_Mage+Hunter#as87Mage,Mage+Warrior,Mage+Hunter,0,team1,kill,21.15
Mage+Warrior_vs_Mage+Hunter#as87Mage,Mage+Warrior,Mage+Hunter,1,team1,kill,21.47
Mage+Warrior_vs_Mage+Shaman#as87Mage,Mage+Warrior,Mage+Shaman,0,team2,kill,26.65
Mage+Warrior_vs_Mage+Shaman#as87Mage,Mage+Warrior,Mage+Shaman,1,team2,kill,13.35
Mage+Warrior_vs_Rogue+Priest#as87Mage,Mage+Warrior,Rogue+Priest,0,team1,kill,18.85
Mage+Warrior_vs_Rogue+Priest#as87Mage,Mage+Warrior,Rogue+Priest,1,team1,kill,23.58
Mage+Warrior_vs_Rogue+Warlock#as87Mage,Mage+Warrior,Rogue+Warlock,0,team2,kill,22.17
Mage+Warrior_vs_Rogue+Warlock#as87Mage,Mage+Warrior,Rogue+Warlock,1,team2,kill,24.50
Mage+Warrior_vs_Rogue+Paladin#as87Mage,Mage+Warrior,Rogue+Paladin,0,team2,kill,32.48
Mage+Warrior_vs_Rogue+Paladin#as87Mage,Mage+Warrior,Rogue+Paladin,1,team2,kill,33.05
Mage+Warrior_vs_Rogue+Hunter#as87Mage,Mage+Warrior,Rogue+Hunter,0,team1,kill,30.45
Mage+Warrior_vs_Rogue+Hunter#as87Mage,Mage+Warrior,Rogue+Hunter,1,team2,kill,29.00
Mage+Warrior_vs_Rogue+Shaman#as87Mage,Mage+Warrior,Rogue+Shaman,0,team1,kill,23.23
Mage+Warrior_vs_Rogue+Shaman#as87Mage,Mage+Warrior,Rogue+Shaman,1,team2,kill,26.35
Mage+Warrior_vs_Priest+Warlock#as87Mage,Mage+Warrior,Priest+Warlock,0,team2,kill,29.43
Mage+Warrior_vs_Priest+Warlock#as87Mage,Mage+Warrior,Priest+Warlock,1,team2,kill,29.80
Mage+Warrior_vs_Priest+Hunter#as87Mage,Mage+Warrior,Priest+Hunter,0,team2,kill,40.92
Mage+Warrior_vs_Priest+Hunter#as87Mage,Mage+Warrior,Priest+Hunter,1,team2,kill,40.92
Mage+Warrior_vs_Warlock+Paladin#as87Mage,Mage+Warrior,Warlock+Paladin,0,team2,kill,40.77
Mage+Warrior_vs_Warlock+Paladin#as87Mage,Mage+Warrior,Warlock+Paladin,1,team1,kill,40.08
Mage+Warrior_vs_Warlock+Hunter#as87Mage,Mage+Warrior,Warlock+Hunter,0,team1,kill,23.70
Mage+Warrior_vs_Warlock+Hunter#as87Mage,Mage+Warrior,Warlock+Hunter,1,team1,kill,19.95
Mage+Warrior_vs_Warlock+Shaman#as87Mage,Mage+Warrior,Warlock+Shaman,0,team2,kill,32.78
Mage+Warrior_vs_Warlock+Shaman#as87Mage,Mage+Warrior,Warlock+Shaman,1,team2,kill,25.23
Mage+Warrior_vs_Paladin+Hunter#as87Mage,Mage+Warrior,Paladin+Hunter,0,team2,kill,41.25
Mage+Warrior_vs_Paladin+Hunter#as87Mage,Mage+Warrior,Paladin+Hunter,1,team2,kill,41.08
Mage+Warrior_vs_Hunter+Shaman#as87Mage,Mage+Warrior,Hunter+Shaman,0,team1,kill,35.93
Mage+Warrior_vs_Hunter+Shaman#as87Mage,Mage+Warrior,Hunter+Shaman,1,team1,kill,34.38
Mage+Rogue_vs_Warrior+Mage#as87Mage,Mage+Rogue,Warrior+Mage,0,team2,kill,23.42
Mage+Rogue_vs_Warrior+Mage#as87Mage,Mage+Rogue,Warrior+Mage,1,team2,kill,23.42
