label,team1,team2,seed,winner,end_reason,duration_secs
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,0,team1,kill,38.83
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,1,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,2,team1,kill,36.82
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,3,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,4,team2,kill,24.25
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,5,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,6,team1,kill,36.20
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,7,team1,kill,40.62
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,8,team1,kill,38.40
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,9,team1,kill,40.55
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,10,team1,kill,38.92
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,11,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,12,team1,kill,40.57
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,13,team1,kill,36.82
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,14,team1,kill,39.00
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,15,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,16,team1,kill,32.83
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,17,team1,kill,38.83
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,18,team1,kill,40.12
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,19,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,20,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,21,team1,kill,38.48
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,22,team1,kill,40.68
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,23,team1,kill,39.33
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,24,team1,kill,36.73
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,25,team1,kill,32.83
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,26,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,27,team1,kill,40.50
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,28,team1,kill,34.40
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,29,team1,kill,39.45
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,30,team1,kill,41.07
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,31,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,32,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,33,team1,kill,41.05
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,34,team1,kill,32.80
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,35,team1,kill,39.43
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,36,team1,kill,40.60
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,37,team1,kill,37.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,38,team1,kill,40.55
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,39,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,40,team1,kill,40.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,41,team2,kill,34.73
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,42,team1,kill,39.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,43,team1,kill,36.60
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,44,team1,kill,37.75
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,45,team1,kill,40.58
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,46,team1,kill,40.55
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,47,team1,kill,41.57
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,48,team1,kill,40.50
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,49,team1,kill,33.15
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,50,team1,kill,33.20
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,51,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,52,team1,kill,32.77
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,53,team1,kill,39.92
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,54,team1,kill,40.60
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,55,team1,kill,39.55
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,56,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,57,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,58,team1,kill,37.93
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,59,team1,kill,38.92
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,60,team1,kill,38.50
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,61,team1,kill,40.55
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,62,team1,kill,39.13
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,63,team1,kill,36.75
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,64,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,65,team1,kill,38.85
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,66,team1,kill,40.57
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,67,team1,kill,44.17
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,68,team1,kill,36.03
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,69,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,70,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,71,team1,kill,38.82
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,72,team1,kill,37.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,73,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,74,team1,kill,40.50
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,75,team1,kill,38.90
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,76,team1,kill,40.50
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,77,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,78,team1,kill,36.80
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,79,team1,kill,40.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,80,team1,kill,32.90
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,81,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,82,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,83,team1,kill,39.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,84,team1,kill,35.65
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,85,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,86,team1,kill,36.82
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,87,team1,kill,40.53
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,88,team1,kill,37.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,89,team1,kill,40.60
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,90,team1,kill,38.67
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,91,team1,kill,40.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,92,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,93,team1,kill,37.98
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,94,team1,kill,33.47
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,95,team1,kill,38.17
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,96,team1,kill,40.52
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,97,team1,kill,39.33
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,98,team1,kill,34.30
Hunter+Priest_vs_Warrior+Mage,Hunter+Priest,Warrior+Mage,99,team1,kill,36.63
Hunter+Priest_vs_Warrior+Rogue,Hunter+Priest,Warrior+Rogue,0,team1,kill,48.87
Hunter+Priest_vs_Warrior+Rogue,Hunter+Priest,Warrior+Rogue,1,team1,kill,57.05
Hunter+Priest_vs_Warrior+Rogue,Hunter+Priest,Warrior+Rogue,2,team1,kill,37.62
Hunter+Priest_vs_Warrior+Rogue,Hunter+Priest,Warrior+Rogue,3,team1,kill,50.42
Hunter+Priest_vs_Warrior+Rogue,Hunter+Priest,Warrior+Rogue,4,team2,kill,43.08
Hunter+Priest_vs_Warrior+Rogue,Hunter+Priest,Warrior+Rogue,5,team2,kill,44.92
