label,team1,team2,seed,winner,end_reason,duration_secs
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,0,team1,kill,34.17
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,1,team1,kill,32.30
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,2,team1,kill,29.42
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,3,team1,kill,31.72
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,4,team1,kill,45.72
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,5,team1,kill,30.08
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,6,team1,kill,36.88
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,7,team2,kill,33.70
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,8,team1,kill,36.08
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,9,team1,kill,36.08
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,10,team1,kill,32.43
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,11,team1,kill,45.38
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,12,team1,kill,29.90
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,13,team1,kill,38.08
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,14,team1,kill,46.95
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,15,team1,kill,29.05
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,16,team1,kill,33.67
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,17,team1,kill,29.45
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,18,team2,kill,41.32
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,19,team1,kill,30.62
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,20,team2,kill,33.70
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,21,team2,kill,41.50
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,22,team1,kill,29.82
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,23,team1,kill,31.82
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,24,team1,kill,33.67
