label,team1,team2,seed,winner,end_reason,duration_secs
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,0,team1,kill,26.15
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,1,team1,kill,26.75
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,2,team1,kill,34.02
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,3,team1,kill,30.67
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,4,team1,kill,32.98
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,5,team1,kill,29.30
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,6,team1,kill,31.00
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,7,team1,kill,32.48
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,8,team1,kill,30.67
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,9,team1,kill,32.03
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,10,team1,kill,28.45
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,11,team1,kill,32.63
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,12,team1,kill,32.08
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,13,team1,kill,30.43
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,14,team1,kill,33.17
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,15,team1,kill,32.70
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,16,team1,kill,30.62
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,17,team1,kill,32.12
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,18,team1,kill,29.45
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,19,team1,kill,32.80
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,20,team1,kill,30.75
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,21,team1,kill,28.72
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,22,team1,kill,36.08
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,23,team1,kill,27.95
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,24,team1,kill,31.28
Rogue+Priest_vs_Warrior+Mage,Rogue+Priest,Warrior+Mage,25,team1,kill,32.40
