label,team1,team2,seed,winner,end_reason,duration_secs
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,0,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,1,team1,kill,32.67
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,2,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,3,team2,kill,21.50
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,4,team1,kill,22.47
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,5,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,6,team1,kill,27.17
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,7,team1,kill,32.63
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,8,team1,kill,30.37
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,9,team2,kill,27.47
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,10,team1,kill,33.72
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,11,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,12,team2,kill,17.33
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,13,team1,kill,30.02
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,14,team1,kill,31.28
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,15,team2,kill,28.50
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,16,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,17,team2,kill,29.22
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,18,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,19,team1,kill,32.62
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,20,team2,kill,27.47
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,21,team1,kill,30.95
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,22,team2,kill,28.98
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,23,team1,kill,31.25
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,24,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,25,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,26,team2,kill,19.93
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,27,team1,kill,35.85
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,28,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,29,team1,kill,26.22
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,30,team1,kill,29.92
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,31,team1,kill,26.22
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,32,team2,kill,27.47
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,33,team2,kill,27.47
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,34,team2,kill,28.97
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,35,team2,kill,28.98
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,36,team2,kill,26.08
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,37,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,38,team2,kill,19.88
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,39,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,40,team1,kill,20.88
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,41,team2,kill,21.50
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,42,team1,kill,23.68
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,43,team2,kill,27.22
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,44,team1,kill,31.25
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,45,team2,kill,27.47
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,46,team2,kill,19.97
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,47,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,48,team2,kill,28.67
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,49,team1,kill,32.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,50,team1,kill,31.70
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,51,team1,kill,30.97
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,52,team2,kill,19.88
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,53,team1,kill,36.75
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,54,team1,kill,34.93
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,55,team1,kill,30.37
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,56,team2,kill,23.48
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,57,team1,kill,32.68
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,58,team1,kill,24.15
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,59,team2,kill,29.10
Warrior+Priest_vs_Warrior+Mage,Warrior+Priest,Warrior+Mage,60,team1,kill,30.33
