cell,seed,trap_owner,victim,victim_class,victim_is_healer,trigger_t,fate,end_t,remover,remover_class
h_v_p,17,Team 1 Hunter #1,Team 2 Priest #1,Priest,True,43.73,RAN_OUT,,,
h_v_p,21,Team 1 Hunter #1,Team 2 Priest #1,Priest,True,41.38,RAN_OUT,,,
hp_v_palwar,0,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,1,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,10,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,11,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,12,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,13,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,14,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,15,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,16,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,17,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,18,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,19,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,2,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,20,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,21,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,22,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,23,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,24,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,3,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,4,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,5,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,6,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,7,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,8,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_palwar,9,Team 1 Hunter #1,Team 2 Warrior #2,Warrior,False,18.82,RAN_OUT,,,
hp_v_prpal,0,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,22.00,DISPEL,27.27,Team 2 Priest #1,Priest
hp_v_prpal,1,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,10,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,11,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,12,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,13,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.77,Team 2 Priest #1,Priest
hp_v_prpal,14,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,15,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,16,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,17,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,18,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,19,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,2,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,29.27,DISPEL,30.40,Team 2 Priest #1,Priest
hp_v_prpal,20,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,22.00,DISPEL,24.23,Team 2 Priest #1,Priest
hp_v_prpal,21,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,22,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,23,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,104.07,RAN_OUT,,,
hp_v_prpal,24,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,22.00,DISPEL,23.55,Team 2 Priest #1,Priest
hp_v_prpal,3,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,4,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
hp_v_prpal,5,Team 1 Hunter #1,Team 2 Paladin #2,Paladin,True,28.87,DISPEL,29.10,Team 2 Priest #1,Priest
