label,team1,team2,seed,winner,end_reason,duration_secs
Warrior+Mage_vs_Warrior+Rogue,Warrior+Mage,Warrior+Rogue,0,team1,kill,20.63
Warrior+Mage_vs_Warrior+Rogue,Warrior+Mage,Warrior+Rogue,1,team1,kill,20.08
Warrior+Mage_vs_Warrior+Rogue,Warrior+Mage,Warrior+Rogue,2,team1,kill,20.08
Warrior+Mage_vs_Warrior+Rogue,Warrior+Mage,Warrior+Rogue,3,team1,kill,20.78
Warrior+Mage_vs_Warrior+Rogue,Warrior+Mage,Warrior+Rogue,4,team1,kill,20.63
Warrior+Mage_vs_Warrior+Priest,Warrior+Mage,Warrior+Priest,0,team2,kill,23.43
Warrior+Mage_vs_Warrior+Priest,Warrior+Mage,Warrior+Priest,1,team2,kill,24.95
Warrior+Mage_vs_Warrior+Priest,Warrior+Mage,Warrior+Priest,2,team2,kill,33.82
Warrior+Mage_vs_Warrior+Priest,Warrior+Mage,Warrior+Priest,3,team2,kill,32.65
Warrior+Mage_vs_Warrior+Priest,Warrior+Mage,Warrior+Priest,4,team1,kill,20.33
Warrior+Mage_vs_Warrior+Warlock,Warrior+Mage,Warrior+Warlock,0,team2,kill,20.78
Warrior+Mage_vs_Warrior+Warlock,Warrior+Mage,Warrior+Warlock,1,team1,kill,15.02
Warrior+Mage_vs_Warrior+Warlock,Warrior+Mage,Warrior+Warlock,2,team1,kill,15.98
Warrior+Mage_vs_Warrior+Warlock,Warrior+Mage,Warrior+Warlock,3,team1,kill,14.47
Warrior+Mage_vs_Warrior+Warlock,Warrior+Mage,Warrior+Warlock,4,team1,kill,15.98
Warrior+Mage_vs_Warrior+Paladin,Warrior+Mage,Warrior+Paladin,0,team2,kill,33.20
Warrior+Mage_vs_Warrior+Paladin,Warrior+Mage,Warrior+Paladin,1,team2,kill,70.28
Warrior+Mage_vs_Warrior+Paladin,Warrior+Mage,Warrior+Paladin,2,team2,kill,33.02
Warrior+Mage_vs_Warrior+Paladin,Warrior+Mage,Warrior+Paladin,3,team2,kill,33.97
Warrior+Mage_vs_Warrior+Paladin,Warrior+Mage,Warrior+Paladin,4,team2,kill,33.23
Warrior+Mage_vs_Warrior+Hunter,Warrior+Mage,Warrior+Hunter,0,team1,kill,15.10
Warrior+Mage_vs_Warrior+Hunter,Warrior+Mage,Warrior+Hunter,1,team1,kill,17.00
Warrior+Mage_vs_Warrior+Hunter,Warrior+Mage,Warrior+Hunter,2,team1,kill,15.72
Warrior+Mage_vs_Warrior+Hunter,Warrior+Mage,Warrior+Hunter,3,team1,kill,13.98
Warrior+Mage_vs_Warrior+Hunter,Warrior+Mage,Warrior+Hunter,4,team1,kill,16.82
