# Matrix run: n=20 seed_base=0
team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate,avg_duration_secs
Warrior,Warrior,20,10,10,0,0.5000,0.0000,16.80
Warrior,Mage,20,0,20,0,0.0000,0.0000,17.32
Warrior,Rogue,20,1,19,0,0.0500,0.0000,17.42
Warrior,Priest,20,15,5,0,0.7500,0.0000,34.55
Warrior,Warlock,20,8,12,0,0.4000,0.0000,24.43
Warrior,Paladin,20,5,15,0,0.2500,0.0000,54.73
Warrior,Hunter,20,0,20,0,0.0000,0.0000,25.35
Mage,Warrior,20,20,0,0,1.0000,0.0000,16.74
Mage,Mage,20,5,6,9,0.2500,0.4500,11.12
Mage,Rogue,20,9,11,0,0.4500,0.0000,21.31
Mage,Priest,20,20,0,0,1.0000,0.0000,27.32
Mage,Warlock,20,10,10,0,0.5000,0.0000,16.53
Mage,Paladin,20,4,16,0,0.2000,0.0000,73.15
Mage,Hunter,20,20,0,0,1.0000,0.0000,10.76
Rogue,Warrior,20,20,0,0,1.0000,0.0000,17.30
Rogue,Mage,20,7,13,0,0.3500,0.0000,22.57
Rogue,Rogue,20,4,16,0,0.2000,0.0000,99.79
Rogue,Priest,20,20,0,0,1.0000,0.0000,18.94
Rogue,Warlock,20,20,0,0,1.0000,0.0000,12.84
Rogue,Paladin,20,0,20,0,0.0000,0.0000,41.11
Rogue,Hunter,20,14,6,0,0.7000,0.0000,22.75
Priest,Warrior,20,2,18,0,0.1000,0.0000,38.39
Priest,Mage,20,0,20,0,0.0000,0.0000,26.63
Priest,Rogue,20,0,20,0,0.0000,0.0000,21.75
Priest,Priest,20,4,8,8,0.2000,0.4000,250.64
Priest,Warlock,20,0,20,0,0.0000,0.0000,28.34
Priest,Paladin,20,7,2,11,0.3500,0.5500,271.15
Priest,Hunter,20,18,2,0,0.9000,0.0000,43.71
Warlock,Warrior,20,3,17,0,0.1500,0.0000,24.43
Warlock,Mage,20,9,10,1,0.4500,0.0500,16.61
Warlock,Rogue,20,0,20,0,0.0000,0.0000,12.87
Warlock,Priest,20,20,0,0,1.0000,0.0000,27.57
Warlock,Warlock,20,11,8,1,0.5500,0.0500,22.33
Warlock,Paladin,20,5,15,0,0.2500,0.0000,48.94
Warlock,Hunter,20,12,8,0,0.6000,0.0000,16.37
Paladin,Warrior,20,15,5,0,0.7500,0.0000,55.35
Paladin,Mage,20,13,7,0,0.6500,0.0000,71.27
Paladin,Rogue,20,20,0,0,1.0000,0.0000,40.46
Paladin,Priest,20,2,13,5,0.1000,0.2500,256.94
Paladin,Warlock,20,14,6,0,0.7000,0.0000,48.24
Paladin,Paladin,20,13,6,1,0.6500,0.0500,281.93
Paladin,Hunter,20,20,0,0,1.0000,0.0000,60.93
Hunter,Warrior,20,20,0,0,1.0000,0.0000,25.86
Hunter,Mage,20,0,20,0,0.0000,0.0000,10.84
Hunter,Rogue,20,8,12,0,0.4000,0.0000,22.25
Hunter,Priest,20,1,19,0,0.0500,0.0000,43.29
Hunter,Warlock,20,11,9,0,0.5500,0.0000,16.67
Hunter,Paladin,20,0,20,0,0.0000,0.0000,59.23
Hunter,Hunter,20,10,8,2,0.5000,0.1000,15.13
